transcript	ss_distance_to_3end
Chr4L-122__XBXL10_1g17799__cry2.L__XBmRNA32811__NM_001088670.1__last_exon	-559
Chr4S-554__XBXL10_1g22057__tom1.S__XBmRNA41007__NM_001093257.1__after_last_exon	-10015,-9939,-9879,-9839
Chr4S-121__XBXL10_1g22069__tptep2-csnk1e.S__XBmRNA41032__XM_041561654.1__last_exon	-1282
Chr4S-885__XBXL10_1g22069__tptep2-csnk1e.S__XBmRNA41032__XM_041561654.1__last_exon	-1166
Chr4S-456__XBXL10_1g22276__slc25a20.S__XBmRNA41409__XM_041561742.1__last_exon	-979
Chr4S-1545__XBXL10_1g22276__slc25a20.S__XBmRNA41409__XM_041561742.1__last_exon	-77
Chr4S-277__XBXL10_1g22280__arih2.S__XBmRNA41413__NM_001090157.1__after_last_exon	-1615,-1564,-1542,-893,-824,-740
Chr4S-1353__XBXL10_1g20869__psmc3.S__XBmRNA38455__XM_041591158.1__last_exon	-281
Chr4S-924__XBXL10_1g20869__psmc3.S__XBmRNA38455__XM_041591158.1__after_last_exon__uncertain	-818
Chr4S-205__XBXL10_1g22418__pdhb.S__XBmRNA41720__NM_001090876.1__after_last_exon	-356
Chr4S-423__XBXL10_1g20934__arhgap1.S__XBmRNA38696__NM_001093040.1__after_last_exon	-3698
Chr4S-1287__XBXL10_1g20934__arhgap1.S__XBmRNA38696__NM_001093040.1__last_exon	-929
Chr4S-629__XBXL10_1g21297__nfat5.S__XBmRNA39419__XM_041561172.1__last_exon	-4659
Chr4S-1026__XBXL10_1g21297__nfat5.S__XBmRNA39419__XM_041561172.1__last_exon	-1286
Chr4S-1661__XBXL10_1g21525__LOC121393296__XBmRNA39887__XM_041561324.1__after_last_exon	-387
Chr4S-1495__XBXL10_1g21667__pomgnt1.S__XBmRNA40177__NM_001094959.1__other_exon__uncertain	-339
Chr4S-312__XBXL10_1g21709__txndc12.S__XBmRNA40252__NM_001087287.1__last_exon	-206
Chr4S-701__XBXL10_1g21714__tut4.S__XBmRNA40272__XM_041561486.1__after_last_exon	-5224
Chr4S-1472__XBXL10_1g21714__tut4.S__XBmRNA40272__XM_041561486.1__after_last_exon	-5112
Chr4S-509__XBXL10_1g21815__ccdc18.S__XBmRNA40478__XM_018261006.2__last_exon	-208
Chr4S-317__XBXL10_1g21951__smdt1.S__XBmRNA40773__NM_001094892.1__last_exon	-253
Chr4S-465__XBXL10_1g21973__sec22b.S__XBmRNA40820__NM_001087436.2__after_last_exon	-1214
Chr4S-743__XBXL10_1g21973__sec22b.S__XBmRNA40820__NM_001087436.2__last_exon	-94
Chr5L-265__XBXL10_1g23936__lsg1.L__XBmRNA44752__NM_001091147.1__last_exon	-1635,-1548,-1487,-1310,-962,-860,-716,-592,-512,-341
Chr5L-767__XBXL10_1g23936__lsg1.L__XBmRNA44752__NM_001091147.1__last_exon	-1786,-1699,-1638,-1461,-1113,-1011,-867,-743,-663,-492
Chr5L-437__XBXL10_1g23936__lsg1.L__XBmRNA44752__NM_001091147.1__after_last_exon	-1903,-1816,-1755,-1578,-1230,-1128,-984,-860,-780,-609
Chr5L-759__XBXL10_1g23936__lsg1.L__XBmRNA44752__NM_001091147.1__after_last_exon	-1996,-1909,-1848,-1671,-1323,-1221,-1077,-953,-873,-702
Chr5L-1092__XBXL10_1g23936__lsg1.L__XBmRNA44752__NM_001091147.1__after_last_exon	-2129,-2042,-1981,-1804,-1456,-1354,-1210,-1086,-1006,-835
Chr5L-1221__XBXL10_1g23936__lsg1.L__XBmRNA44752__NM_001091147.1__after_last_exon__uncertain	-1927,-1847,-1676
Chr5L-756__XBXL10_1g23944__opa1.L__XBmRNA44778__XM_018263655.2__after_last_exon	-4411
Chr5L-328__XBXL10_1g23944__opa1.L__XBmRNA44778__XM_018263655.2__after_last_exon	-1391
Chr5L-25__XBXL10_1g23979__ect2.L__XBmRNA44859__XM_018261789.2__after_last_exon	-858
Chr5L-616__XBXL10_1g22618__angel2.L__XBmRNA42153__NM_001097005.1__after_last_exon	-621,-536,-372
Chr5L-229__XBXL10_1g24091__selenot.L__XBmRNA45062__NM_001086118.2__last_exon	-1159
Chr5L-710__XBXL10_1g24091__selenot.L__XBmRNA45062__NM_001086118.2__last_exon	-441
Chr5L-212__XBXL10_1g24182__septin2.L__XBmRNA45256__XM_041562104.1__last_exon	-1344
Chr5L-277__XBXL10_1g22642__bpnt1.L__XBmRNA42210__NM_001093642.1__after_last_exon__uncertain	-1693,-1379,-1163
Chr5L-512__XBXL10_1g24748__dnajc5g.L__XBmRNA46203__NM_001093930.1__last_exon	-1931
Chr5L-1136__XBXL10_1g24748__dnajc5g.L__XBmRNA46203__NM_001093930.1__last_exon	-992
Chr5L-846__XBXL10_1g22768__crip3.L__XBmRNA42429__XM_018262720.2__last_exon	-2442
Chr5L-267__XBXL10_1g22813__vegfa.L__XBmRNA42510__XM_018261609.2__last_exon	-2540
Chr5L-776__XBXL10_1g22813__vegfa.L__XBmRNA42510__XM_018261609.2__last_exon	-345
Chr5L-659__XBXL10_1g22846__LOC108716574__XBmRNA42570__XM_041562627.1__last_exon	-559
Chr5L-545__XBXL10_1g22906__papolg.L__XBmRNA42689__XM_018262079.2__last_exon	-788
Chr5L-560__XBXL10_1g22906__papolg.L__XBmRNA42689__XM_018262079.2__last_exon	-431
Chr5L-105__XBXL10_1g23054__rdh13.L__XBmRNA42961__XM_041562186.1__after_last_exon	-329
Chr5L-711__XBXL10_1g23136__epm2a.L__XBmRNA43083__NM_001092220.1__last_exon	-120
Chr5L-1471__XBXL10_1g23183__c6orf120.L__XBmRNA43182__NM_001171714.1__after_last_exon__uncertain	-1180
Chr5L-1418__XBXL10_1g23183__c6orf120.L__XBmRNA43182__NM_001171714.1__after_last_exon	-706
Chr5L-453__XBXL10_1g23183__c6orf120.L__XBmRNA43182__NM_001171714.1__after_last_exon	-507
Chr5L-162__XBXL10_1g23246__irf2bp2.L__XBmRNA43318__NM_001087099.1__after_last_exon	-1612
Chr5L-196__XBXL10_1g23246__irf2bp2.L__XBmRNA43318__NM_001087099.1__after_last_exon	-452
Chr5L-704__XBXL10_1g23322__rsph3.L__XBmRNA43482__NM_001127814.1__last_exon	-543
Chr5L-238__XBXL10_1g23378__epb41l2.L__XBmRNA43642__XM_041562937.1__last_exon	-1072
Chr5L-961__XBXL10_1g23496__foxo3.L__XBmRNA43864__NM_001092949.1__last_exon	-780
Chr5L-679__XBXL10_1g23498__snx3.L__XBmRNA43867__NM_001094475.1__last_exon	-2756
Chr5L-842__XBXL10_1g23658__bckdhb.L__XBmRNA44155__XM_018240605.2__last_exon	-268
Chr5S-230__XBXL10_1g25939__selenot.S__XBmRNA48520__NM_001086037.2__last_exon	-628
Chr5S-997__XBXL10_1g26013__septin2.S__XBmRNA48678__XM_041564973.1__after_last_exon__uncertain	-1585
Chr5S-24__XBXL10_1g26013__septin2.S__XBmRNA48678__XM_041564973.1__after_last_exon	-1386
Chr5S-713__XBXL10_1g26254__trim62.S__XBmRNA49079__NM_001095963.1__last_exon	-810,-756
Chr5S-547__XBXL10_1g26299__LOC108718301__XBmRNA49152__XM_018266031.2__last_exon	-984
Chr5S-795__XBXL10_1g26312__LOC108718308__XBmRNA49184__XM_041565122.1__after_last_exon	-2334
Chr5S-1094__XBXL10_1g26312__LOC108718308__XBmRNA49184__XM_041565122.1__after_last_exon	-1603
Chr5S-346__XBXL10_1g26429__dnajc5g.S__XBmRNA49349__XM_018266087.2__last_exon	-1810
Chr5S-667__XBXL10_1g26429__dnajc5g.S__XBmRNA49349__XM_018266087.2__last_exon	-1409
Chr5S-192__XBXL10_1g26439__LOC121394345__XBmRNA49373__XM_041565174.1__last_exon	-135
Chr5S-442__XBXL10_1g25058__LOC431899__XBmRNA46785__XM_018265059.2__last_exon	-376
Chr5S-113__XBXL10_1g25089__xrn2.S__XBmRNA46849__NM_001097942.1__last_exon	-1715,-1626,-1490,-1382,-1292,-1219,-1135,-1037,-957,-900,-831,-699,-574,-531,-431
Chr5S-175__XBXL10_1g24813__ppp3r1.S__XBmRNA46318__NM_001090497.1__last_exon	-1324,-1189
Chr5S-1059__XBXL10_1g24813__ppp3r1.S__XBmRNA46318__NM_001090497.1__last_exon	-907,-772
Chr5S-659__XBXL10_1g25499__foxo3.S__XBmRNA47597__XM_041564629.1__after_last_exon	-2949
Chr5S-468__XBXL10_1g25499__foxo3.S__XBmRNA47597__XM_041564629.1__last_exon	-726
Chr5S-726__XBXL10_1g25714__nppc.S__XBmRNA48051__NM_001093118.1__after_last_exon	-1403
Chr5S-274__XBXL10_1g25792__opa1.S__XBmRNA48222__XM_018265676.2__last_exon	-3470
Chr5S-865__XBXL10_1g25792__opa1.S__XBmRNA48222__XM_018265676.2__last_exon	-933
Chr5S-657__XBXL10_1g25832__ect2.S__XBmRNA48325__NM_001094827.1__last_exon	-600
Chr6L-1042__XBXL10_1g26738__aqp1.L__XBmRNA49992__NM_001091922.1__last_exon	-549
Chr6L-665__XBXL10_1g27732__znf407.L__XBmRNA52062__XM_041566350.1__last_exon	-2094
Chr6L-89__XBXL10_1g27765__psmg2.L__XBmRNA52112__XM_018266270.2__after_last_exon__uncertain	-1395
Chr6L-514__XBXL10_1g27775__cidea.L__XBmRNA52131__NM_001094989.1__last_exon	-367
Chr6L-644__XBXL10_1g27825__smchd1.L__XBmRNA52266__XM_018267925.2__after_last_exon	-3188
Chr6L-23__XBXL10_1g28051__rpl7.L__XBmRNA52683__NM_001096628.1__last_exon	-45
Chr6L-1618__XBXL10_1g28079__LOC108719297__XBmRNA52733__XM_018268080.2__last_exon	-1048
Chr6L-43__XBXL10_1g28148__triqk.L__XBmRNA52863__NM_001127852.1__after_last_exon	-488
Chr6L-1249__XBXL10_1g28254__rad21.L__XBmRNA53069__NM_001090338.1__after_last_exon	-3375
Chr6L-104__XBXL10_1g28254__rad21.L__XBmRNA53069__NM_001090338.1__last_exon	-1038
Chr6L-718__XBXL10_1g28277__zhx1.L__XBmRNA53110__XM_018268253.2__after_last_exon	-731
Chr6L-919__XBXL10_1g26947__tfpi2.L__XBmRNA50466__XM_041565896.1__last_exon	-529
Chr6L-159__XBXL10_1g27081__hnrnpa2b1.L__XBmRNA50726__NM_001086002.1__after_last_exon__uncertain	-1657
Chr6L-1765__XBXL10_1g27217__znrf2.L__XBmRNA50952__XM_018267490.2__last_exon	-417
Chr6L-214__XBXL10_1g27264__kif15.L__XBmRNA51061__NM_001088074.1__after_last_exon	-657,-397
Chr6L-1407__XBXL10_1g27335__ddc.L__XBmRNA51227__NM_001110741.1__last_exon	-139
Chr6L-939__XBXL10_1g27372__stard3nl.L__XBmRNA51329__XM_018267598.2__after_last_exon	-3258
Chr6S-35__XBXL10_1g29547__tcea1.S__XBmRNA55597__NM_001088124.1__last_exon	-903
Chr6S-641__XBXL10_1g29547__tcea1.S__XBmRNA55597__NM_001088124.1__last_exon	-559
Chr6S-1228__XBXL10_1g29567__ca8.S__XBmRNA55636__XM_018223747.2__last_exon	-524
Chr6S-14__XBXL10_1g29616__LOC108695345__XBmRNA55761__XM_018223801.2__after_last_exon	-56
Chr6S-494__XBXL10_1g29648__impa1.S__XBmRNA55812__NM_001092654.1__after_last_exon	-620
Chr6S-88__XBXL10_1g29724__LOC108695404__XBmRNA55935__XM_018223885.2__last_exon	-236
Chr6S-960__XBXL10_1g29785__zhx1.S__XBmRNA56070__XM_018223933.2__last_exon	-711
Chr6S-426__XBXL10_1g29926__plec.S__XBmRNA56344__XM_041568058.1__after_last_exon__uncertain	-959
Chr6S-1236__XBXL10_1g28815__stam.S__XBmRNA54215__XM_018269129.2__after_last_exon__uncertain	-1951
Chr6S-1221__XBXL10_1g28815__stam.S__XBmRNA54215__XM_018269129.2__after_last_exon	-264
Chr6S-77__XBXL10_1g28956__hnrnpa2b1.S__XBmRNA54480__NM_001086921.1__after_last_exon	-2263
Chr6S-177__XBXL10_1g28661__cdc25a.S__XBmRNA53857__NM_001096204.1__last_exon	-677
Chr6S-1239__XBXL10_1g29046__znrf2.S__XBmRNA54633__XM_018269320.2__last_exon	-358
Chr6S-28__XBXL10_1g29200__tex10.S__XBmRNA54884__NM_001094814.1__last_exon	-3148,-2901,-2791,-2552,-2413,-2237,-2059,-1970,-1836,-1755,-1576,-1365
Chr6S-617__XBXL10_1g29200__tex10.S__XBmRNA54884__NM_001094814.1__last_exon	-1990,-1743,-1633,-1394,-1255,-1079,-901,-812,-678,-597,-418,-207
Chr6S-843__XBXL10_1g29268__vps4b.S__XBmRNA55002__NM_001086640.1__after_last_exon	-887
Chr6S-370__XBXL10_1g29268__vps4b.S__XBmRNA55002__NM_001086640.1__after_last_exon__uncertain	-787
Chr6S-399__XBXL10_1g29268__vps4b.S__XBmRNA55002__NM_001086640.1__after_last_exon	-243
Chr6S-345__XBXL10_1g29304__rbm22.S__XBmRNA55075__XM_041567082.1__after_last_exon__uncertain	-1076
Chr6S-300__XBXL10_1g29304__rbm22.S__XBmRNA55075__XM_041567082.1__after_last_exon__uncertain	-568
Chr6S-51__XBXL10_1g29304__rbm22.S__XBmRNA55075__XM_041567082.1__after_last_exon	-359
Chr6S-482__XBXL10_1g29350__jarid2.S__XBmRNA55163__NM_001094763.1__last_exon	-572
Chr6S-554__XBXL10_1g29350__jarid2.S__XBmRNA55163__NM_001094763.1__after_last_exon	-2136
Chr7L-54__XBXL10_1g31391__c1orf174.S__XBmRNA59333__NM_001096207.1__after_last_exon	-2203
Chr7L-1161__XBXL10_1g31391__c1orf174.S__XBmRNA59333__NM_001096207.1__last_exon	-484
Chr7L-394__XBXL10_1g31862__LOC503678__XBmRNA60136__NM_001095567.1__last_exon	-1520
Chr7L-393__XBXL10_1g30216__rtkn2.L__XBmRNA56902__NM_001094816.1__after_last_exon	-1184
Chr7L-763__XBXL10_1g31930__c-answer.L__XBmRNA60255__XM_018226441.2__last_exon	-1105
Chr7L-1081__XBXL10_1g31930__c-answer.L__XBmRNA60255__XM_018226441.2__last_exon	-917
Chr7L-162__XBXL10_1g32054__LOC108696826__XBmRNA60438__XM_018226484.1__last_exon	-180
Chr7L-1411__XBXL10_1g30281__inpp5a.1.L__XBmRNA57010__XM_018225153.2__after_last_exon	-2151
Chr7L-214__XBXL10_1g30282__pwwp2b.L__XBmRNA57011__XM_018225156.2__last_exon	-2465
Chr7L-791__XBXL10_1g30282__pwwp2b.L__XBmRNA57011__XM_018225156.2__last_exon	-444
Chr7L-539__XBXL10_1g30418__fbxw4.L__XBmRNA57299__NM_001097827.1__last_exon	-3004
Chr7L-883__XBXL10_1g30418__fbxw4.L__XBmRNA57299__NM_001097827.1__last_exon	-2827
Chr7L-166__XBXL10_1g30069__sec23ip.L__XBmRNA56613__NM_001093941.1__last_exon	-1058
Chr7L-79__XBXL10_1g30778__LOC121393051__XBmRNA58065__XM_041568986.1__last_exon	-95,-72
Chr7L-56__XBXL10_1g30779__rps24.L__XBmRNA58068__XM_041568358.1__last_exon	-95,-72
Chr7L-126__XBXL10_1g30815__ctnnd1.L__XBmRNA58167__XM_041568423.1__last_exon	-603
Chr7L-116__XBXL10_1g30815__ctnnd1.L__XBmRNA58167__XM_041568423.1__last_exon	-512
Chr7L-363__XBXL10_1g30112__lpcat3.L__XBmRNA56679__NM_001095396.1__last_exon	-762
Chr7L-772__XBXL10_1g30846__rad9a.L__XBmRNA58235__XM_018224368.2__after_last_exon	-4231
Chr7L-831__XBXL10_1g30977__siae.L__XBmRNA58554__NM_001089783.1__after_last_exon	-258
Chr7L-557__XBXL10_1g30998__spa17.L__XBmRNA58604__XM_018224237.2__last_exon	-511
Chr7L-512__XBXL10_1g31070__ddx6.L__XBmRNA58765__NM_001090252.1__after_last_exon	-3603
Chr7L-1219__XBXL10_1g31070__ddx6.L__XBmRNA58765__NM_001090252.1__after_last_exon	-916
Chr7L-764__XBXL10_1g31070__ddx6.L__XBmRNA58765__NM_001090252.1__after_last_exon	-819
Chr7L-1165__XBXL10_1g31070__ddx6.L__XBmRNA58765__NM_001090252.1__last_exon	-597
Chr7L-955__XBXL10_1g31074__rps25.L__XBmRNA58775__XM_018225838.2__last_exon	-1056
Chr7L-81__XBXL10_1g31074__rps25.L__XBmRNA58775__XM_018225838.2__last_exon	-64
Chr7L-550__XBXL10_1g31201__ptpn11b.L__XBmRNA59017__NM_001092297.1__last_exon	-322
Chr7L-3__XBXL10_1g31311__ybx1.L__XBmRNA59222__NM_001085898.1__last_exon	-350
Chr7L-279__XBXL10_1g31312__ppih.L__XBmRNA59224__NM_001096579.1__last_exon	-339
Chr7L-149__XBXL10_1g31321__kazn.L__XBmRNA59245__XM_041569376.1__after_last_exon	-3244
Chr7L-965__XBXL10_1g31321__kazn.L__XBmRNA59245__XM_041569376.1__after_last_exon	-2751
Chr7S-572__XBXL10_1g33766__cyth1.S__XBmRNA63786__NM_001097054.1__last_exon	-692,-620,-465
Chr7S-164__XBXL10_1g33766__cyth1.S__XBmRNA63786__NM_001097054.1__last_exon	-1628,-1556,-1401
Chr7S-456__XBXL10_1g33766__cyth1.S__XBmRNA63786__NM_001097054.1__last_exon	-1831,-1759,-1604
Chr7S-298__XBXL10_1g33766__cyth1.S__XBmRNA63786__NM_001097054.1__last_exon	-4939,-4867,-4712
Chr7S-626__XBXL10_1g33898__etfb.L__XBmRNA63970__NM_001086575.1__after_last_exon__uncertain	-1960
Chr7S-116__XBXL10_1g33898__etfb.L__XBmRNA63970__NM_001086575.1__last_exon	-207
Chr7S-845__XBXL10_1g33961__slc35a3.2.S__XBmRNA64057__NM_001086268.1__after_last_exon__uncertain	-1028,-894
Chr7S-78__XBXL10_1g33961__slc35a3.2.S__XBmRNA64057__NM_001086268.1__after_last_exon	-752,-618
Chr7S-827__XBXL10_1g33962__scn1b.S__XBmRNA64059__XM_018228377.2__last_exon	-2184
Chr7S-952__XBXL10_1g33962__scn1b.S__XBmRNA64059__XM_018228377.2__last_exon	-1178
Chr7S-690__XBXL10_1g33962__scn1b.S__XBmRNA64059__XM_018228377.2__last_exon	-930
Chr7S-47__XBXL10_1g34069__LOC108697842__XBmRNA64264__XM_041571826.1__last_exon	-336
Chr7S-698__XBXL10_1g32558__abraxas2.S__XBmRNA61424__NM_001094420.1__after_last_exon	-3476
Chr7S-70__XBXL10_1g32565__pwwp2b.S__XBmRNA61434__XM_018227364.2__last_exon	-562
Chr7S-296__XBXL10_1g32600__ccnj.S__XBmRNA61533__XM_041570918.1__last_exon	-2255
Chr7S-557__XBXL10_1g32600__ccnj.S__XBmRNA61533__XM_041570918.1__last_exon	-821
Chr7S-811__XBXL10_1g32600__ccnj.S__XBmRNA61533__XM_041570918.1__last_exon	-466
Chr7S-217__XBXL10_1g32614__slk.S__XBmRNA61558__XM_041570929.1__last_exon	-300
Chr7S-1157__XBXL10_1g32894__camk2g.S__XBmRNA62146__NM_001087345.1__after_last_exon	-1441
Chr7S-307__XBXL10_1g32403__sec23ip.S__XBmRNA61127__NM_001097683.1__last_exon	-603
Chr7S-147__XBXL10_1g32434__lpcat3.S__XBmRNA61185__NM_001094004.1__after_last_exon	-886
Chr7S-1113__XBXL10_1g33103__LOC108697955__XBmRNA62501__XM_018228421.2__last_exon	-244
Chr7S-236__XBXL10_1g33308__ddx6.S__XBmRNA62852__XM_041571359.1__last_exon	-3513
Chr7S-672__XBXL10_1g33308__ddx6.S__XBmRNA62852__XM_041571359.1__last_exon	-1912
Chr7S-16__XBXL10_1g33314__rps25.S__XBmRNA62859__NM_001093006.1__last_exon	-61
Chr7S-831__XBXL10_1g32515__LOC108697176__XBmRNA61344__XM_041570861.1__after_last_exon	-473
Chr7S-352__XBXL10_1g33484__kazn.S__XBmRNA63188__NM_001091167.1__last_exon	-2195,-2170
Chr7S-510__XBXL10_1g33639__atg12.S__XBmRNA63529__NM_001110752.1__last_exon	-293
Chr7S-264__XBXL10_1g33639__atg12.S__XBmRNA63530__XM_041570287.1__last_exon	-451
Chr7S-1182__XBXL10_1g33685__LOC108697775__XBmRNA63618__XM_041571587.1__last_exon	-2063
Chr8L-1440__XBXL10_1g34492__invs.L__XBmRNA65162__NM_001089597.1__after_last_exon	-1135
Chr8L-95__XBXL10_1g34726__cstf2.L__XBmRNA65639__NM_001086710.1__after_last_exon	-152
Chr8L-590__XBXL10_1g34967__XB5730431.L__XBmRNA66056__NM_001096057.1__after_last_exon	-301
Chr8L-920__XBXL10_1g35068__thoc2.L__XBmRNA66225__XM_018229819.1__after_last_exon	-849
Chr8L-642__XBXL10_1g35068__thoc2.L__XBmRNA66225__XM_018229819.1__last_exon	-612
Chr8L-1476__XBXL10_1g35068__thoc2.L__XBmRNA66225__XM_018229819.1__last_exon	-460
Chr8L-619__XBXL10_1g34299__LOC108698187__XBmRNA64705__XM_041572344.1__last_exon	-507
Chr8L-79__XBXL10_1g35124__tspan6.L__XBmRNA66348__XM_018229894.2__last_exon	-3806
Chr8L-516__XBXL10_1g35293__rap2c.L__XBmRNA66612__XM_018229210.2__after_last_exon	-3911
Chr8L-933__XBXL10_1g35293__rap2c.L__XBmRNA66612__XM_018229210.2__last_exon	-1209
Chr8L-970__XBXL10_1g35293__rap2c.L__XBmRNA66612__XM_018229210.2__last_exon	-296
Chr8L-1441__XBXL10_1g35370__ppp1r37.L__XBmRNA66764__XM_018230076.2__last_exon	-2122
Chr8L-1212__XBXL10_1g35370__ppp1r37.L__XBmRNA66764__XM_018230076.2__last_exon	-1290
Chr8L-459__XBXL10_1g35479__gpank1.L__XBmRNA67003__NM_001097131.1__last_exon	-61
Chr8L-607__XBXL10_1g34350__cntrl.L__XBmRNA64823__XM_041572385.1__last_exon	-179
Chr8L-1195__XBXL10_1g35621__dmac2.L__XBmRNA67248__XM_018230254.2__after_last_exon	-326
Chr8L-89__XBXL10_1g35625__selenow1.L__XBmRNA67253__NM_001351454.1__last_exon	-184
Chr8L-1589__XBXL10_1g35762__efcab11.L__XBmRNA67549__XM_018230410.2__last_exon	-1210
Chr8L-304__XBXL10_1g35813__thul16.L__XBmRNA67680__NM_001091122.1__after_last_exon	-910
Chr8L-354__XBXL10_1g35896__tmx1.L__XBmRNA67812__XM_018228544.2__after_last_exon	-1075
Chr8L-1133__XBXL10_1g34414__ncs1.L__XBmRNA64974__NM_001090619.1__after_last_exon	-4462
Chr8L-277__XBXL10_1g34414__ncs1.L__XBmRNA64974__NM_001090619.1__last_exon	-603
Chr8L-788__XBXL10_1g35977__mthfd1.L__XBmRNA68033__NM_001087105.1__after_last_exon	-377
Chr8L-27__XBXL10_1g35977__mthfd1.L__XBmRNA68033__NM_001087105.1__last_exon	-176
Chr8L-1114__XBXL10_1g36085__ttc9.L__XBmRNA68272__NM_001135229.1__after_last_exon	-1875
Chr8S-768__XBXL10_1g37252__eif5.S__XBmRNA70304__XM_041574107.1__after_last_exon__uncertain	-1351
Chr8S-512__XBXL10_1g37252__eif5.S__XBmRNA70304__XM_041574107.1__after_last_exon	-971
Chr8S-650__XBXL10_1g37340__dicer1.S__XBmRNA70488__NM_001170447.1__after_last_exon	-8959
Chr8S-711__XBXL10_1g37420__fam161b.S__XBmRNA70628__XM_018232463.2__last_exon	-166
Chr8S-145__XBXL10_1g37706__cdk9.S__XBmRNA71258__NM_001096560.1__after_last_exon	-441
Chr8S-1149__XBXL10_1g37730__ccnq.S__XBmRNA71304__XM_041574168.1__last_exon	-353
Chr8S-1511__XBXL10_1g37788__pbx3.S__XBmRNA71425__XM_018232845.2__after_last_exon	-1590
Chr8S-339__XBXL10_1g37976__irs4.S__XBmRNA71789__XM_041574158.1__last_exon	-2371
Chr8S-40__XBXL10_1g38012__tspan6.S__XBmRNA71858__XM_018233009.2__last_exon	-2470
Chr8S-1019__XBXL10_1g37191__otx2.S__XBmRNA70173__NM_001090691.1__after_last_exon__uncertain	-1249
Chr8S-1529__XBXL10_1g38218__ppp1r37.S__XBmRNA72207__XM_041574030.1__after_last_exon	-2890
Chr8S-73__XBXL10_1g38224__exo1.S__XBmRNA72213__NM_001090358.1__last_exon	-2165
Chr8S-1467__XBXL10_1g38315__dhx16.S__XBmRNA72389__XM_018233268.2__after_last_exon	-385
Chr8S-113__XBXL10_1g38315__dhx16.S__XBmRNA72389__XM_018233268.2__last_exon	-94
Chr8S-839__XBXL10_1g38364__cyp2a6.2.S__XBmRNA72479__XM_018233323.2__last_exon	-930
Chr8S-987__XBXL10_1g38364__cyp2a6.2.S__XBmRNA72479__XM_018233323.2__last_exon	-373
Chr8S-104__XBXL10_1g38433__ftsj1.S__XBmRNA72596__NM_001087347.1__last_exon	-1194,-713,-610,-526,-422
Chr8S-78__XBXL10_1g38670__aph1a.S__XBmRNA72973__NM_001095587.1__last_exon	-1616,-438
Chr8S-837__XBXL10_1g38670__aph1a.S__XBmRNA72973__NM_001095587.1__other_exon	-847
Chr8S-967__XBXL10_1g38670__aph1a.S__XBmRNA72973__NM_001095587.1__other_exon	-739
Chr9_10L-100__XBXL10_1g41137__eif3b.L__XBmRNA77615__NM_001096535.1__last_exon	-483
Chr9_10L-2143__XBXL10_1g41310__nme4.L__XBmRNA77951__XM_018234236.2__after_last_exon__uncertain	-874
Chr9_10L-309__XBXL10_1g41310__nme4.L__XBmRNA77951__XM_018234236.2__last_exon	-323
Chr9_10L-1316__XBXL10_1g41330__naa60.L__XBmRNA77998__XM_018236543.2__after_last_exon	-2027
Chr9_10L-1129__XBXL10_1g41330__naa60.L__XBmRNA77998__XM_018236543.2__after_last_exon	-1329
Chr9_10L-1819__XBXL10_1g41330__naa60.L__XBmRNA77998__XM_018236543.2__after_last_exon	-542
Chr9_10L-496__XBXL10_1g41339__arhgap17.L__XBmRNA78022__XM_018236559.2__last_exon	-2982
Chr9_10L-1112__XBXL10_1g41339__arhgap17.L__XBmRNA78022__XM_018236559.2__last_exon	-616
Chr9_10L-29__XBXL10_1g39325__znf217.L__XBmRNA74110__NM_001088819.1__last_exon	-226
Chr9_10L-1314__XBXL10_1g39329__cyp24a1.L__XBmRNA74127__XM_018234944.2__after_last_exon	-1677
Chr9_10L-568__XBXL10_1g41886__MGC81124__XBmRNA78843__NM_001091283.1__last_exon	-1142
Chr9_10L-102__XBXL10_1g39465__XB956055.L__XBmRNA74385__NM_001112837.1__last_exon	-1831
Chr9_10L-2094__XBXL10_1g39465__XB956055.L__XBmRNA74385__NM_001112837.1__last_exon	-970
Chr9_10L-1356__XBXL10_1g39465__XB956055.L__XBmRNA74385__NM_001112837.1__last_exon	-134
Chr9_10L-1272__XBXL10_1g39759__mbtd1.L__XBmRNA74797__XM_041575595.1__last_exon	-324
Chr9_10L-656__XBXL10_1g39899__rpn2.L__XBmRNA75036__XM_018241225.2__last_exon	-424
Chr9_10L-8__XBXL10_1g40124__srsf2.L__XBmRNA75488__NM_001087274.1__last_exon	-894
Chr9_10L-685__XBXL10_1g40154__luc7l3.L__XBmRNA75545__NM_001096916.1__last_exon	-447
Chr9_10L-378__XBXL10_1g40154__luc7l3.L__XBmRNA75545__NM_001096916.1__last_exon	-365
Chr9_10L-588__XBXL10_1g40186__LOC108701172__XBmRNA75611__XM_018235451.2__last_exon	-606
Chr9_10L-1102__XBXL10_1g40307__sco1.L__XBmRNA75763__XM_041576387.1__last_exon	-64
Chr9_10L-387__XBXL10_1g40371__slc35f5.L__XBmRNA75905__XM_018235580.2__after_last_exon	-4504
Chr9_10L-1440__XBXL10_1g40371__slc35f5.L__XBmRNA75905__XM_018235580.2__last_exon	-760
Chr9_10L-1535__XBXL10_1g40371__slc35f5.L__XBmRNA75905__XM_018235580.2__last_exon	-536
Chr9_10L-890__XBXL10_1g40544__grsf1.L__XBmRNA76273__XM_018235726.2__last_exon	-626
Chr9_10L-1803__XBXL10_1g40631__LOC108701344__XBmRNA76487__XM_018235842.2__last_exon	-3322
