gene_id	median_tl_by_palseq	tag_count
chr2-454	46.5	60
chr2-1001	76	21
chr2-231	32	124
chr2-371	24	71
chr2-112	72	225
chr2-974	82	23
chr2-1738	116.5	10
chr2-525	28	49
chr2-711	25	33
chr2-564	39	45
chr2-804	25	28
chr2-385	37	73
chr2-1126	33.5	18
chr2-946	41	21
chr2-209	18	136
chr2-694	46.5	34
chr2-1739	27.5	10
chr2-174	15	160
chr2-196	43	145
chr2-1504	43.5	12
chr2-220	29	130
chr2-92	94	271
chr2-1176	60	17
chr2-1002	59	21
chr2-1288	62	15
chr2-1612	45	11
chr2-335	56	83
chr2-1505	54	12
chr2-1613	42	11
chr2-975	30.5	24
chr2-340	28	84
chr2-250	32	116
chr2-182	27	155
chr2-565	37	45
chr2-1506	35	12
chr2-43	44	418
chr2-416	54.5	68
chr2-1740	20	11
chr2-583	79	43
chr2-347	69	81
chr2-1039	60	23
chr2-336	32	85
chr2-860	43	26
chr2-1080	61	19
chr2-444	38	63
chr2-2	43	3031
chr2-31	46	537
chr2-185	53	153
chr2-1127	41	18
chr2-1229	46.5	16
chr2-674	59	35
chr2-355	44	80
chr2-806	30.5	28
chr2-1230	21.5	16
chr2-1507	45.5	12
chr2-1004	30	21
chr2-1614	31	11
chr2-1177	55	17
chr2-624	38	41
chr2-526	58	49
chr2-1741	69	10
chr2-675	53	35
chr2-1615	43	11
chr2-1616	9	11
chr2-1509	210	12
chr2-64	19	350
chr2-1358	58	14
chr2-1415	19	13
chr2-725	60	32
chr2-1742	28.5	10
chr2-947	37	23
chr2-765	15.5	30
chr2-362	18	79
chr2-136	132	194
chr2-549	59	47
chr2-101	49	243
chr2-455	41	61
chr2-1743	19.5	10
chr2-50	16	391
chr2-726	25	32
chr2-1617	44	11
chr2-300	37	76
chr2-884	24	24
chr2-1359	92.5	14
chr2-458	70	59
chr2-1510	31	12
chr2-831	43	27
chr2-832	42	27
chr2-1081	31	16
chr2-1289	27	15
chr2-1511	47.5	12
chr2-1178	66	17
chr2-1231	39	16
chr2-885	17	25
chr2-833	41	27
chr2-1512	83.5	12
chr2-1744	46.5	10
chr2-475	52	57
chr2-1290	34	15
chr2-1179	45	17
chr2-363	41	79
chr2-572	92	44
chr2-1005	32	21
chr2-476	32	57
chr2-1745	59	10
chr2-251	38	115
chr2-296	56	99
chr2-316	42	92
chr2-744	53	31
chr2-397	65	70
chr2-1746	73.5	10
chr2-1618	30	11
chr2-781	24	29
chr2-1416	28	13
chr2-1291	15	15
chr2-1180	30	17
chr2-1181	40	17
chr2-1417	36	13
chr2-625	45	39
chr2-1232	56.5	16
chr2-291	35	101
chr2-46	43	411
chr2-1619	20	11
chr2-1040	36	20
chr2-269	64.5	108
chr2-417	56	68
chr2-1620	28	11
chr2-1360	38	14
chr2-10	46	943
chr2-130	38.5	220
chr2-1621	67	11
chr2-1182	56	17
chr2-1747	96.5	10
chr2-537	50	48
chr2-948	40	23
chr2-886	29	25
chr2-1006	25	21
chr2-1129	64	18
chr2-976	29.5	22
chr2-165	33	165
chr2-203	27	142
chr2-11	32	901
chr2-766	27	30
chr2-35	43	504
chr2-538	32	48
chr2-1082	162	19
chr2-1622	29	11
chr2-496	40.5	54
chr2-1513	48.5	12
chr2-216	25	130
chr2-437	27.5	70
chr2-767	56.5	30
chr2-1233	36	19
chr2-233	31	125
chr2-539	29.5	48
chr2-1130	17	18
chr2-1361	62	14
chr2-861	60	26
chr2-647	54	37
chr2-1292	42	15
chr2-466	45.5	58
chr2-14	37	825
chr2-1083	66	19
chr2-467	46	58
chr2-887	33	25
chr2-406	6	69
chr2-834	30	27
chr2-348	39	82
chr2-312	28.5	94
chr2-745	35	31
chr2-381	23.5	74
chr2-1750	38	10
chr2-1749	46	10
chr2-1041	48	20
chr2-1514	68	12
chr2-1751	49.5	10
chr2-2092	35	13
chr2-1752	34.5	10
chr2-712	40	33
chr2-1293	29	15
chr2-1515	26	12
chr2-1007	27	17
chr2-1516	45.5	12
chr2-433	43	62
chr2-37	76.5	498
chr2-1624	40	11
chr2-1625	48	11
chr2-1517	14	12
chr2-1183	29	17
chr2-1753	14.5	10
chr2-648	46	37
chr2-1754	37	10
chr2-1626	36	11
chr2-1084	45	19
chr2-1234	34.5	16
chr2-1418	44	13
chr2-1627	48	11
chr2-527	43	57
chr2-782	55	29
chr2-1755	36.5	10
chr2-2098	45.5	10
chr2-131	35	197
chr2-96	41	262
chr2-73	49.5	302
chr2-262	34.5	112
chr2-1518	16	14
chr2-391	45	73
chr2-456	23.5	60
chr2-398	39	70
chr2-1236	59.5	16
chr2-1419	26	13
chr2-1756	42.5	10
chr2-556	35.5	46
chr2-1131	22	18
chr2-746	31.5	32
chr2-862	34	26
chr2-217	38	131
chr2-171	105.5	162
chr2-609	35.5	40
chr2-1085	180	19
chr2-557	80	46
chr2-515	29	36
chr2-1132	31.5	18
chr2-550	33	47
chr2-175	35	160
chr2-1757	39	10
chr2-1519	29	12
chr2-274	36	105
chr2-626	127	39
chr2-445	42	63
chr2-13	27	826
chr2-213	33	132
chr2-104	43	239
chr2-949	52	23
chr2-1362	29	14
chr2-166	40	165
chr2-54	40	380
chr2-516	40.5	50
chr2-49	22	398
chr2-181	36	156
chr2-676	43	35
chr2-382	28.5	74
chr2-1758	36.5	10
chr2-1294	55	15
chr2-1420	12	13
chr2-950	58	23
chr2-1628	49	14
chr2-383	37.5	74
chr3-1211	93	11
chr3-60	42	319
chr3-14	18	796
chr3-626	50	29
chr3-598	21	31
chr3-263	35	88
chr3-700	28	27
chr3-1212	42	11
chr3-1213	35	11
chr3-432	55.5	48
chr3-216	38	105
chr3-627	46	29
chr3-239	27	94
chr3-64	26	292
chr3-401	28	52
chr3-501	52	39
chr3-864	18	18
chr3-1074	48	13
chr3-583	26.5	32
chr3-584	64	33
chr3-1075	30	13
chr3-1214	58	11
chr3-264	33	88
chr3-557	54	34
chr3-88	56.5	228
chr3-1282	19	10
chr3-336	51	63
chr3-978	25	15
chr3-1215	40	11
chr3-865	49	18
chr3-1140	29.5	12
chr3-416	26	32
chr3-483	33	41
chr3-748	34	22
chr3-113	56	180
chr3-39	32	396
chr3-1076	13.5	16
chr3-66	29	294
chr3-512	42.5	38
chr3-224	36.5	102
chr3-121	73	171
chr3-470	30	43
chr3-866	39.5	18
chr3-1216	53	11
chr3-426	35.5	52
chr3-1141	33.5	12
chr3-979	54	15
chr3-43	35	357
chr3-897	23	25
chr3-206	26	110
chr3-610	149.5	30
chr3-346	36	61
chr3-203	43	111
chr3-210	36	107
chr3-599	35	31
chr3-1283	20	10
chr3-1217	22	19
chr3-1142	46	17
chr3-1284	66	10
chr3-513	63.5	38
chr3-186	74	120
chr3-1285	17	10
chr3-271	16	84
chr3-681	19.5	26
chr3-374	177.5	56
chr3-1077	40	13
chr3-30	28	430
chr3-24	31	464
chr3-281	33	78
chr3-523	46	37
chr3-1078	62	13
chr3-835	18	19
chr3-836	28	19
chr3-749	40	19
chr3-775	24	20
chr3-110	50	191
chr3-837	35	19
chr3-291	42	73
chr3-750	28.5	22
chr3-1218	24	11
chr3-1286	22.5	10
chr3-838	72	19
chr3-936	35	13
chr3-475	55	42
chr3-427	36	50
chr3-460	45	45
chr3-1143	14	12
chr3-144	68	150
chr3-809	32	20
chr3-586	27.5	32
chr3-585	32.5	32
chr3-898	74	17
chr3-899	17	17
chr3-76	38	256
chr3-440	20	47
chr3-357	39	59
chr3-484	22	41
chr3-305	64	71
chr3-587	50.5	32
chr3-1144	30	12
chr3-558	33	31
chr3-1288	37.5	10
chr3-7	42	1024
chr3-980	26	15
chr3-810	40	19
chr3-981	29	15
chr3-100	37	210
chr3-502	52	39
chr3-251	48	91
chr3-449	61.5	46
chr3-375	30	55
chr3-937	30	16
chr3-776	36	21
chr3-322	16	67
chr3-544	34	35
chr3-811	28	20
chr3-839	75	20
chr3-1219	34	11
chr3-812	31	20
chr3-1289	38.5	10
chr3-524	22	37
chr3-268	63	85
chr3-611	58	30
chr3-252	34	91
chr3-1145	94.5	12
chr3-180	38	128
chr3-628	27	29
chr3-464	35	44
chr3-900	34	22
chr3-1146	62.5	12
chr3-1080	105	13
chr3-568	41.5	34
chr3-1220	30	11
chr3-1018	52.5	14
chr3-340	21	75
chr3-297	34.5	72
chr3-751	24	22
chr3-1019	36.5	14
chr3-588	21	32
chr3-127	45	165
chr3-1290	41	10
chr3-1020	42.5	14
chr3-777	37	21
chr3-718	38	24
chr3-569	80	33
chr3-318	35	67
chr3-1291	59	11
chr3-612	30	31
chr3-982	0	15
chr3-262	36	89
chr3-1292	61	10
chr3-840	44	19
chr3-1293	60.5	10
chr3-813	36.5	20
chr3-1294	20.5	10
chr3-1295	36	10
chr3-1021	57.5	14
chr3-514	36	38
chr3-73	35	264
chr3-515	56.5	38
chr3-394	31	53
chr3-570	35	33
chr3-901	33	17
chr3-361	42	58
chr3-151	35.5	144
chr3-814	27.5	20
chr3-1147	38.5	12
chr3-1148	41.5	12
chr3-1149	42.5	12
chr3-1296	34.5	10
chr3-629	34	29
chr3-1221	31	11
chr3-1297	57	10
chr3-1150	59.5	12
chr3-298	7	72
chr3-1151	14	12
chr3-867	40.5	18
chr3-1022	20	14
chr3-645	79	25
chr3-476	43	42
chr3-545	44	36
chr3-868	40.5	18
chr3-869	33	18
chr3-276	45	80
chr3-128	63	162
chr3-91	49.5	226
chr3-370	26	57
chr3-938	27	15
chr3-395	31	53
chr3-1222	37	11
chr3-571	63.5	38
chr3-148	36	146
chr3-125	28	167
chr3-1023	25	14
chr3-1152	29	12
chr3-682	30	26
chr3-841	28	19
chr3-1223	68	11
chr3-701	33	25
chr3-1224	65	11
chr3-56	39	323
chr3-1024	61	14
chr3-1081	43	13
chr3-195	35	115
chr3-902	38	17
chr3-630	73	29
chr3-461	32	45
chr3-1153	45	12
chr3-145	29	149
chr3-631	45	29
chr3-183	38.5	120
chr3-225	30	102
chr3-842	50	19
chr3-465	37.5	44
chr3-441	31	47
chr3-15	33	708
chr3-226	37.5	100
chr3-613	37	30
chr3-1154	152	12
chr3-503	31	39
chr3-299	32.5	72
chr3-870	30.5	18
chr3-1299	40	10
chr3-492	40	38
chr3-1300	39	10
chr3-1082	6	11
chr3-1301	50.5	10
chr3-940	60.5	16
chr3-1155	60	12
chr3-1302	49.5	10
chr3-1025	30	14
chr3-702	41	25
chr3-442	61	47
chr3-1156	40	12
chr3-50	60	342
chr3-1157	94.5	12
chr3-1303	42.5	10
chr3-983	12	14
chr3-984	26	15
chr3-17	29	680
chr3-752	35.5	22
chr3-1225	17	11
chr3-433	58.5	48
chr3-1158	27.5	12
chr3-231	40	97
chr3-1026	41.5	14
chr3-632	38	29
chr3-1304	64.5	10
chr3-246	35	93
chr3-559	19	34
chr3-1027	51	15
chr3-871	35	18
chr3-387	37	54
chr3-985	43	15
chr3-288	25	75
chr3-560	29.5	34
chr3-229	55	102
chr3-633	50	31
chr3-986	63	15
chr3-407	44	51
chr3-1083	100	13
chr3-1305	38	10
chr3-1028	34.5	14
chr3-683	36.5	26
chr3-434	27	48
chr3-987	26	15
chr3-329	83	64
chr3-253	32	91
chr3-330	35	64
chr3-106	27	198
chr3-1226	18	11
chr3-1227	32	11
chr3-292	40	73
chr3-1029	28.5	14
chr3-1228	11	11
chr3-408	38	51
chr3-1306	31.5	10
chr3-1159	14.5	12
chr3-1030	60.5	14
chr3-211	37	107
chr3-1160	40.5	12
chr3-259	23	91
chr3-309	44	69
chr3-703	16	25
chr3-988	0	17
chr3-1230	52	11
chr3-428	47	49
chr3-1031	36	14
chr3-719	186	24
chr3-493	72.5	40
chr3-536	41.5	36
chr3-941	41	16
chr3-989	26	15
chr3-572	45	33
chr3-417	69.5	50
chr3-362	35.5	78
chr3-314	49	101
chr3-198	48	101
chr3-614	57.5	30
chr3-1161	48	12
chr3-1307	7	10
chr3-477	27.5	42
chr3-1308	33.5	10
chr3-1163	57	12
chr3-903	33	17
chr3-843	29	19
chr3-44	45	416
chr3-25	45	466
chr3-573	42	33
chr3-1309	66.5	10
chr3-736	24	23
chr3-778	43.5	22
chr3-1164	34	12
chr3-1231	26	11
chr3-21	39	527
chr3-409	156	51
chr3-197	41	114
chr3-1032	64	14
chr3-942	44.5	16
chr3-873	35.5	18
chr3-943	74	16
chr3-1232	27	11
chr3-874	33	20
chr3-589	24	32
chr3-192	25.5	128
chr3-141	46	152
chr3-122	33	172
chr3-388	60.5	54
chr3-1165	61.5	12
chr3-119	16	173
chr3-1084	26	13
chr3-815	34	20
chr3-1311	41.5	10
chr3-944	45.5	16
chr3-684	37.5	26
chr3-844	10	19
chr3-904	22	14
chr3-504	28	39
chr3-219	105	104
chr3-410	35	51
chr3-352	46	59
chr3-376	171.5	56
chr3-254	25	91
chr3-1085	45	13
chr3-905	58	17
chr3-133	48.5	162
chr3-779	38	21
chr3-418	51	50
chr3-1033	51	14
chr3-85	38	232
chr3-300	49	72
chr3-600	31	31
chr3-615	40	27
chr3-1034	47	11
chr3-1086	63	13
chr3-845	44	19
chr3-1035	43.5	14
chr3-301	36.5	72
chr3-663	36	27
chr3-906	16	17
chr3-353	41	60
chr3-306	34	70
chr3-646	39	28
chr3-380	69	55
chr3-147	32	148
chr3-396	40	53
chr3-945	36	16
chr3-846	94	19
chr3-411	98	51
chr3-685	158	26
chr3-68	38	280
chr3-1036	46	14
chr3-647	43	28
chr3-720	76.5	24
chr3-331	18.5	64
chr3-173	40	126
chr3-123	18	170
chr3-450	38.5	46
chr3-363	18.5	58
chr3-990	21	15
chr3-1037	87.5	12
chr3-347	41	61
chr3-1312	34.5	10
chr3-240	35	89
chr3-1233	122	11
chr3-79	57	246
chr3-1313	96.5	10
chr3-704	40	29
chr3-907	32	17
chr3-753	26.5	22
chr3-686	54	27
chr3-1038	70	14
chr3-546	35	35
chr3-1087	31	13
chr3-687	48	26
chr3-946	53.5	16
chr3-816	8	20
chr3-35	29	391
chr3-947	44.5	16
chr3-754	47	22
chr3-705	18	25
chr3-63	47.5	304
chr3-1088	44	13
chr3-505	37	39
chr3-12	19	796
chr3-737	34	23
chr3-817	46.5	20
chr3-875	55	18
chr3-634	39	29
chr3-97	46	217
chr3-146	66	149
chr3-212	61	107
chr3-32	29	417
chr3-220	35	103
chr3-948	76.5	16
chr3-991	34	15
chr3-537	26.5	36
chr3-738	62	23
chr3-16	32	703
chr3-207	27	119
chr3-429	21	62
chr3-249	188	92
chr3-739	24	23
chr3-1040	76.5	14
chr3-949	33	16
chr3-397	25	53
chr3-115	10	182
chr3-478	67.5	42
chr3-706	167	25
chr3-635	31	29
chr3-780	40	21
chr3-53	41	334
chr3-61	56	311
chr3-354	52	60
chr3-62	30	306
chr3-94	28	221
chr3-950	75.5	16
chr3-1166	21	12
chr3-221	38	103
chr3-443	33	47
chr3-237	28	95
chr3-1042	55	14
chr3-574	23	33
chr3-818	98.5	20
chr3-84	32	234
chr3-75	37	479
chr3-494	39	46
chr3-214	35	179
chr3-255	27	93
chr3-188	53.5	118
chr3-648	25.5	28
chr3-908	21	17
chr3-992	188	15
chr3-1089	17	13
chr3-721	15.5	24
chr3-26	176	464
chr3-58	58.5	322
chr3-59	62	323
chr3-876	81.5	18
chr3-951	39.5	16
chr3-166	35	129
chr3-1090	65	13
chr3-129	33	162
chr3-1043	38.5	14
chr3-755	47.5	22
chr3-158	29	137
chr3-485	43	41
chr3-909	0	17
chr3-111	20	188
chr3-435	37	48
chr3-1314	61.5	10
chr3-82	35	242
chr3-516	31.5	38
chr3-436	19.5	48
chr3-506	18	39
chr3-847	24	19
chr3-234	39.5	96
chr3-993	181	15
chr3-57	27	323
chr3-1316	35	10
chr3-247	41	93
chr3-707	26.5	26
chr3-134	34	155
chr3-547	34	35
chr3-561	28	34
chr3-289	34	75
chr3-31	25	421
chr3-910	38	17
chr3-994	28	15
chr3-167	17	129
chr3-174	31.5	126
chr3-80	43	246
chr3-101	40	214
chr3-165	29	130
chr3-1317	42	10
chr3-1318	196	10
chr3-38	61	403
chr3-47	38	350
chr3-848	32	19
chr3-1091	62	13
chr3-877	186.5	18
chr3-8	30	943
chr3-238	69	100
chr3-303	56	71
chr3-1235	26	15
chr3-1092	39	13
chr3-1319	52	10
chr3-664	28	27
chr3-1236	39	11
chr3-132	41	160
chr3-756	59.5	22
chr3-636	40	29
chr3-41	26	362
chr3-332	29	64
chr3-182	82	125
chr3-451	19	46
chr3-462	35	29
chr3-1093	44	13
chr3-548	11	35
chr3-241	35	94
chr3-323	33.5	66
chr3-495	20	34
chr3-170	25	129
chr3-326	28	65
chr3-402	29.5	52
chr3-1237	44	11
chr3-1044	0	14
chr3-1094	34	13
chr3-1238	94	11
chr3-1095	37	13
chr3-1320	33.5	10
chr3-538	27.5	36
chr3-419	27	50
chr3-327	16	58
chr3-27	38	454
chr3-1167	20	12
chr3-1321	32.5	10
chr3-1168	14	12
chr3-757	60	22
chr3-364	35	57
chr3-1096	24	13
chr3-70	42	278
chr3-708	41	25
chr3-1097	33	13
chr3-507	23	39
chr3-42	37	357
chr3-1239	62	11
chr3-307	52	70
chr3-286	77	76
chr3-995	22	15
chr3-1696	22	11
chr3-355	37.5	58
chr3-722	33	30
chr3-819	49.5	18
chr3-1240	40	11
chr3-108	26	199
chr3-377	60.5	56
chr3-740	17	23
chr3-389	34	54
chr3-278	44	79
chr3-1242	38.5	10
chr3-104	33	205
chr3-649	37.5	28
chr3-1322	84	10
chr3-273	37	83
chr3-1098	25	13
chr3-310	51	67
chr3-616	35.5	30
chr3-1099	36	13
chr3-232	43	97
chr3-758	62	22
chr3-1243	13	11
chr3-1244	25	11
chr3-911	25	17
chr3-1245	67	11
chr3-1169	72.5	12
chr3-189	49	118
chr3-781	178	21
chr3-1101	26	13
chr3-413	53	51
chr3-1100	32	13
chr3-1170	19.5	12
chr3-486	55	39
chr3-996	52	15
chr3-109	36	192
chr3-997	45	15
chr3-466	17	44
chr3-525	17	37
chr3-1246	29	11
chr3-998	41	15
chr3-471	32	44
chr3-98	45	216
chr3-74	52	263
chr3-390	40	54
chr3-952	22	16
chr3-266	55	86
chr3-496	42.5	40
chr3-487	28	41
chr3-820	36.5	20
chr3-821	22	20
chr3-912	30	17
chr3-378	37.5	56
chr3-1102	42.5	14
chr3-517	34	38
chr3-1103	30	13
chr3-1171	43.5	12
chr3-159	32	136
chr3-204	59	111
chr3-665	45	27
chr3-999	41	15
chr3-175	75.5	126
chr3-437	38.5	48
chr3-341	26	62
chr3-328	34	65
chr3-1000	17	15
chr3-849	28	19
chr3-77	5	253
chr3-1172	60	12
chr3-222	35	122
chr3-782	38	21
chr3-1104	37	13
chr3-879	65.5	18
chr3-1323	89	10
chr3-1324	70	10
chr3-601	18	31
chr3-1325	40	10
chr3-342	33.5	62
chr3-1045	31	14
chr3-269	57	85
chr3-1173	35.5	12
chr3-1174	22.5	12
chr3-163	33	131
chr3-1326	44	10
chr3-463	27	45
chr3-822	15.5	20
chr3-452	45.5	46
chr3-913	22	17
chr3-759	45.5	22
chr3-1105	87	13
chr3-688	34.5	26
chr3-1327	36	10
chr3-1328	38	10
chr3-549	58	35
chr3-1247	36	11
chr3-953	51.5	16
chr3-1248	36	11
chr3-1329	25.5	10
chr3-1330	161	11
chr3-689	35.5	26
chr3-508	20.5	30
chr3-823	28	20
chr3-954	35.5	20
chr3-602	37	37
chr3-1176	35.5	12
chr3-488	19	41
chr3-1331	64.5	10
chr3-824	22	20
chr3-880	21.5	18
chr3-277	51.5	80
chr3-650	37	29
chr3-666	95.5	30
chr3-1177	41	12
chr3-955	88	16
chr3-1332	54.5	10
chr3-1001	74	15
chr3-914	46	17
chr3-723	40	24
chr3-1249	19	11
chr3-1046	46.5	14
chr3-1178	31	12
chr3-1179	42	12
chr3-956	56	16
chr3-1250	31	11
chr3-783	38	21
chr3-915	22	17
chr3-1333	29.5	10
chr3-398	51	57
chr3-881	57.5	18
chr3-850	45	19
chr3-1180	18	12
chr3-724	31.5	24
chr3-539	43	38
chr3-562	35	34
chr3-1047	10	14
chr3-603	27	31
chr3-391	31	54
chr3-315	28.5	68
chr3-155	36	142
chr3-916	41	19
chr3-1181	69.5	12
chr3-1106	59	13
chr3-651	7	30
chr3-1048	29.5	14
chr3-343	34.5	62
chr3-1049	37	14
chr3-1050	16	14
chr3-725	65	24
chr3-917	60	17
chr3-726	27	24
chr3-152	41.5	144
chr3-882	44	18
chr3-283	25	77
chr3-540	57	36
chr3-760	18	22
chr3-365	30	58
chr3-761	82	22
chr3-652	59.5	28
chr3-248	47	93
chr3-399	28	53
chr3-187	16	119
chr3-28	119.5	456
chr3-1251	60	11
chr3-171	44	128
chr3-403	40	52
chr3-78	58	250
chr3-275	25	58
chr3-1334	44	10
chr3-95	49	224
chr3-883	19	18
chr3-1107	36	13
chr3-1051	30	14
chr3-71	18	276
chr3-526	37	37
chr3-851	34	19
chr3-1335	28.5	10
chr3-54	29	333
chr3-617	47	30
chr3-497	60.5	40
chr3-18	35	604
chr3-690	50.5	26
chr3-1336	16.5	10
chr3-270	48	85
chr3-884	63	18
chr3-563	71	34
chr3-1337	30.5	10
chr3-1182	17	12
chr3-1252	39	11
chr3-149	60.5	146
chr3-667	33.5	30
chr3-1183	22.5	12
chr3-590	38.5	32
chr3-1184	58	14
chr3-1002	17	15
chr3-1338	29.5	10
chr3-1735	47.5	10
chr3-825	50.5	20
chr3-784	39	21
chr3-918	47	17
chr3-1339	35.5	10
chr3-885	15.5	18
chr3-618	32.5	30
chr3-1185	41.5	12
chr3-886	46.5	18
chr3-785	56	21
chr3-279	60	76
chr3-348	41	61
chr3-479	15	43
chr3-1340	28.5	10
chr3-1052	52.5	14
chr3-741	35	23
chr3-160	40	136
chr3-324	27	66
chr3-637	36	29
chr3-260	65.5	90
chr3-444	27	47
chr3-887	67	18
chr3-453	44	46
chr3-1341	32	10
chr3-564	71	34
chr3-293	14.5	76
chr3-762	47.5	22
chr3-371	28	57
chr3-1342	25	10
chr3-138	38	154
chr3-1108	36	13
chr3-527	112.5	34
chr3-604	38	31
chr3-852	25.5	20
chr3-1109	38	13
chr3-1253	31	11
chr3-381	24	55
chr3-763	16.5	22
chr3-242	47	95
chr3-1186	62	12
chr3-208	71	109
chr3-786	26	21
chr3-1003	48	15
chr3-1254	15	11
chr3-787	151	21
chr3-788	16	21
chr3-1004	63	15
chr3-172	49	127
chr3-1110	39	13
chr3-454	53.5	46
chr3-888	52.5	18
chr3-227	48	100
chr3-853	43	19
chr3-272	32	79
chr3-509	20	39
chr3-213	32	107
chr3-382	36	55
chr3-709	31	25
chr3-957	44	16
chr3-550	58	36
chr3-45	35	367
chr3-605	40	40
chr3-727	25	24
chr3-265	22	88
chr3-764	32.5	22
chr3-958	104	16
chr3-1343	61	10
chr3-22	19	486
chr3-400	39	53
chr3-1344	43	10
chr3-1345	35.5	10
chr3-765	36	35
chr3-319	53	67
chr3-742	41	23
chr3-1187	40	12
chr3-498	26.5	40
chr3-565	44.5	34
chr3-1188	78.5	12
chr3-11	41	797
chr3-455	33	63
chr3-177	59	126
chr3-480	43	42
chr3-606	38	31
chr3-1111	39	13
chr3-1346	31.5	10
chr3-456	24	46
chr3-1189	23.5	12
chr3-499	39	40
chr3-112	37	188
chr3-1053	46	14
chr3-518	27	39
chr3-619	32.5	26
chr3-131	34	161
chr3-83	55	241
chr3-1112	41	13
chr3-379	32.5	56
chr3-789	42	21
chr3-40	24	329
chr3-959	68	16
chr3-790	21	21
chr3-541	28	36
chr3-710	114	25
chr3-889	33.5	18
chr3-1347	47.5	10
chr3-620	42	29
chr3-1348	35	10
chr3-890	25.5	18
chr3-184	36	120
chr3-519	48	38
chr3-1054	25.5	14
chr3-1113	58	13
chr3-1114	56	13
chr3-728	30	24
chr3-729	33	24
chr3-4	31	1638
chr3-200	29	112
chr3-29	32	432
chr3-607	40.5	28
chr3-383	61	55
chr3-261	34	90
chr3-1255	26	11
chr3-139	41	153
chr3-168	31	129
chr3-215	25	107
chr3-156	76.5	138
chr3-520	30	38
chr3-1116	33	13
chr3-1190	34	12
chr3-114	35	278
chr3-1057	22	15
chr3-164	27	131
chr3-217	26	105
chr3-591	24.5	32
chr3-86	28	309
chr3-791	41	21
chr3-366	60.5	58
chr3-33	41	416
chr3-13	41	796
chr3-1005	25	15
chr3-34	53	412
chr3-1058	40.5	14
chr3-67	41	292
chr3-467	65	44
chr3-638	42	29
chr3-551	33	35
chr3-92	19	223
chr3-1	58	9842
chr3-294	45	73
chr3-190	14	118
chr3-891	34	19
chr3-1350	49.5	10
chr3-1256	182	11
chr3-792	25.5	20
chr3-1257	56	11
chr3-1753	36	14
chr3-1059	26.5	14
chr3-566	37	34
chr3-1191	43	12
chr3-358	34	59
chr3-420	79	50
chr3-1060	69.5	14
chr3-892	67	18
chr3-766	52	22
chr3-1006	28	15
chr3-1117	19	13
chr3-608	47	26
chr3-1258	47	16
chr3-826	25	20
chr3-404	49.5	52
chr3-668	40	27
chr3-510	38	39
chr3-653	31	28
chr3-282	35	81
chr3-325	31	66
chr3-1259	54	11
chr3-69	45	258
chr3-1192	14.5	12
chr3-692	38	26
chr3-528	49	37
chr3-472	24	43
chr3-333	27	64
chr3-893	27	18
chr3-162	35	133
chr3-1260	42	11
chr3-457	62.5	46
chr3-639	43	29
chr3-529	74	41
chr3-1351	20	10
chr3-654	67	24
chr3-793	39	21
chr3-711	53	25
chr3-438	40.5	48
chr3-150	28	147
chr3-235	31	96
chr3-530	34	37
chr3-243	51	94
chr3-552	41.5	36
chr3-1261	21	11
chr3-960	56	16
chr3-655	64	28
chr3-392	88.5	54
chr3-640	38	29
chr3-894	13	18
chr3-575	34	33
chr3-1352	35.5	10
chr3-193	46	116
chr3-669	28	27
chr3-553	26	36
chr3-1118	20	13
chr3-267	28	86
chr3-621	18	30
chr3-1119	35	15
chr3-393	53	54
chr3-554	49	35
chr3-489	38	41
chr3-105	41	202
chr3-10	43	893
chr3-1120	49	13
chr3-511	30	39
chr3-919	23	17
chr3-693	44	26
chr3-445	18	47
chr3-920	38	17
chr3-1121	35	13
chr3-961	27.5	16
chr3-1262	37	14
chr3-405	57.5	52
chr3-542	43	36
chr3-1263	48	11
chr3-89	39	228
chr3-1193	39	12
chr3-794	47	21
chr3-670	30.5	18
chr3-295	46.5	80
chr3-609	37	31
chr3-854	27	19
chr3-500	29	40
chr3-344	41	62
chr3-1007	48	15
chr3-384	28	55
chr3-311	12	69
chr3-855	61	19
chr3-176	15	126
chr3-87	41	229
chr3-730	50	24
chr3-1122	37	13
chr3-731	29.5	24
chr3-827	31.5	20
chr3-671	94	23
chr3-1353	55.5	10
chr3-1354	56.5	10
chr3-1355	48.5	10
chr3-962	44.5	16
chr3-795	33	21
chr3-51	26	341
chr3-963	24	16
chr3-296	29	73
chr3-767	30.5	22
chr3-1008	42	15
chr3-1123	24	13
chr3-856	177	19
chr3-743	29	23
chr3-201	33	112
chr3-921	45	17
chr3-641	24	29
chr3-1124	54	13
chr3-768	23	22
chr3-922	34	17
chr3-964	41	16
chr3-1357	67	10
chr3-116	57.5	182
chr3-694	44.5	26
chr3-256	27	92
chr3-421	41	50
chr3-695	31	26
chr3-1061	42.5	14
chr3-1009	43	15
chr3-1125	33	13
chr3-642	19	29
chr3-923	46	17
chr3-230	38	100
chr3-1358	31	10
chr3-349	38	61
chr3-1359	27	10
chr3-1194	37	12
chr3-274	57	83
chr3-1126	31	13
chr3-576	18	33
chr3-744	21	23
chr3-592	59	32
chr3-796	32	22
chr3-287	46	76
chr3-965	25	16
chr3-924	65	17
chr3-3	64	1649
chr3-1361	44	10
chr3-925	37	17
chr3-769	54	22
chr3-857	67	19
chr3-202	42	112
chr3-185	110.5	120
chr3-169	24	129
chr3-196	53	115
chr3-712	51	39
chr3-926	39	17
chr3-385	38	55
