gene_id	diff_by_palseq	count_min
chr3-382	15.5	22
chr3-709	74	11
chr3-957	71	16
chr3-550	-16	31
chr3-45	-5	71
chr3-727	-4	24
chr3-958	-84	16
chr3-400	10	12
chr3-742	8	10
chr3-498	26.5	39
chr3-11	58	365
chr3-606	13.5	22
chr3-518	48	12
chr3-83	-38	14
chr3-40	67	110
chr3-710	-70	18
chr3-620	-21	21
chr3-728	37	24
chr3-4	57	1063
chr3-200	-6	30
chr3-29	62	152
chr3-383	-6.5	30
chr3-261	4.5	24
chr3-215	35	40
chr3-156	-44.5	19
chr3-366	-9.5	16
chr3-33	6	172
chr3-13	5	449
chr3-34	-22.5	28
chr3-67	-3.5	82
chr3-467	-31	10
chr3-92	12.5	58
chr3-1	115	4517
chr3-294	89.5	70
chr3-190	106	33
chr3-420	-59	19
chr3-766	60	22
chr3-282	22	32
chr3-69	12.5	20
chr3-472	71	16
chr3-793	2.5	12
chr3-530	-16	14
chr3-243	10	67
chr3-894	76	12
chr3-393	-15.5	12
chr3-554	29.5	12
chr3-693	28.5	10
chr3-445	34.5	20
chr3-405	-14.5	18
chr3-542	35	36
chr3-1263	55	10
chr3-89	3	133
chr3-1193	15	12
chr3-794	41.5	18
chr3-609	47	31
chr3-311	24.5	14
chr3-51	-5	31
chr3-296	30	73
chr3-856	-86	19
chr3-201	-33	11
chr3-921	48	17
chr3-1357	-28.5	10
chr3-116	9.5	129
chr3-694	70.5	13
chr3-256	53	15
chr3-230	-21	12
chr3-592	80	28
chr3-796	58	15
chr3-287	94	11
chr3-3	-29	144
chr3-769	15	12
chr3-202	25	91
chr3-185	-79.5	24
chr3-196	11	80
chr3-712	-16	39
chr3-385	64	29
chr3-36	-18	131
chr3-23	48	173
chr3-367	78.5	16
chr3-521	73	23
chr3-577	22.5	22
chr3-360	2.5	24
chr3-531	-19.5	13
chr3-422	80.5	22
chr3-532	89	20
chr3-118	77	78
chr3-656	43.5	28
chr3-1267	-1.5	10
chr3-316	19.5	57
chr3-414	4	12
chr3-280	54.5	18
chr3-334	-18	20
chr3-37	23	189
chr3-1131	47	13
chr3-657	11	27
chr3-966	-21	10
chr3-96	6	40
chr3-859	99	10
chr3-1365	32.5	10
chr3-543	29	11
chr3-285	27	32
chr3-153	99.5	98
chr3-244	-1	28
chr3-732	-4.5	16
chr3-338	12	17
chr3-103	-40	212
chr3-5	-11	49
chr3-1064	93.5	14
chr3-223	19	22
chr3-831	-52	20
chr3-1065	-8	14
chr3-1135	-26.5	13
chr3-675	84	27
chr3-302	29	16
chr3-191	-40	31
chr3-308	28.5	64
chr3-52	41	15
chr3-135	9	99
chr3-447	38	16
chr3-2	1	469
chr3-228	89.5	38
chr3-1137	29	14
chr3-369	115.5	18
chr3-136	30.5	86
chr3-55	-19	11
chr3-257	43.5	48
chr3-130	5	60
chr3-120	20.5	104
chr3-9	72	671
chr3-481	-13	23
chr3-774	-46.5	22
chr3-6	11	239
chr3-345	-8.5	34
chr3-482	0	35
chr3-350	-50	43
chr3-304	-17	10
chr3-93	-1	30
chr3-312	-16	13
chr3-19	88	26
chr3-971	-138	16
chr3-20	42	402
chr3-351	66.5	54
chr3-1015	-4.5	15
chr3-321	18	51
chr3-142	-9	29
chr3-733	14.5	24
chr3-431	-3	33
chr3-699	-10.5	14
chr3-245	156	17
chr3-205	-12	26
chr3-72	11.5	74
chr3-567	-32.5	33
chr3-161	33	86
chr3-1208	32	12
chr3-491	5	25
chr3-49	-16	29
chr3-90	-16	11
chr3-717	31.5	25
chr3-596	27	10
chr3-862	39	14
chr3-734	-27	12
chr3-236	27.5	34
chr3-157	52	121
chr3-448	-17	13
chr3-747	63	10
chr3-194	-12	12
chr3-137	6	117
chr3-107	1	131
chr4-66	-2	13
chr4-90	44	40
chr4-148	31.5	28
chr4-184	0	48
chr4-241	45	23
chr4-34	-22	10
chr4-12	3	313
chr4-165	89	56
chr4-1	9	3813
chr4-83	-24	30
chr4-133	-11.5	24
chr4-54	56.5	130
chr4-140	4	19
chr4-323	-28.5	10
chr4-141	1.5	20
chr4-40	2	41
chr4-117	-22	10
chr4-101	3	82
chr4-7	112	341
chr4-218	54.5	42
chr4-21	-4	23
chr4-73	-7.5	128
chr4-91	-21	31
chr4-47	7	109
chr4-373	-21	20
chr4-481	23	26
chr4-94	11	14
chr4-315	9.5	36
chr4-363	3.5	10
chr4-80	-14	90
chr4-264	-19.5	18
chr4-384	-83	13
chr4-122	-90.5	25
chr4-28	101	103
chr4-336	-14	13
chr4-210	-16	29
chr4-23	-10	21
chr4-56	13	46
chr4-385	-7	11
chr4-811	48	11
chr4-6	22	295
chr4-195	-16	10
chr4-296	1	13
chr4-108	62	39
chr4-11	1	99
chr4-342	11.5	14
chr4-88	12	88
chr4-578	-103	17
chr4-463	26	23
chr4-429	-1	25
chr4-61	14	43
chr4-115	86.5	52
chr4-242	0	17
chr4-271	-40.5	44
chr4-366	-29	20
chr4-245	-4	37
chr4-430	37.5	22
chr4-149	1	27
chr4-356	-12.5	14
chr4-819	0	11
chr4-266	5	14
chr4-272	51	31
chr4-178	1.5	62
chr4-246	44.5	15
chr4-22	-11.5	100
chr4-247	-9.5	50
chr4-357	-36.5	26
chr4-222	-10	31
chr4-232	9	13
chr4-465	23	17
chr4-446	45	10
chr4-343	-10	18
chr4-3	-28	594
chr4-5	-5	122
chr4-309	11	18
chr4-137	-21	59
chr4-60	63	116
chr4-467	73	12
chr4-561	-4.5	11
chr4-114	-9	22
chr4-238	-6	16
chr4-136	76	43
chr4-9	-4.5	65
chr4-154	17	89
chr4-449	-13	16
chr4-31	25.5	13
chr4-57	19.5	98
chr4-236	-22	24
chr4-488	-23.5	22
chr4-339	10	29
chr4-654	1	10
chr4-214	40.5	24
chr4-317	61.5	22
chr4-367	-14	14
chr4-563	20	17
chr4-110	3	49
chr4-328	-15.5	10
chr4-59	11.5	54
chr4-16	-24	41
chr4-616	-44	21
chr4-728	37	12
chr4-55	6.5	56
chr4-125	78	68
chr4-774	-25.5	12
chr4-289	49.5	12
chr4-89	-4	17
chr4-223	23	39
chr4-38	22	61
chr4-46	-8	54
chr4-776	-61	12
chr4-62	104	20
chr4-259	-16	15
chr4-78	4	33
chr4-166	-10	16
chr4-345	58	15
chr4-155	-7	19
chr4-732	57	13
chr4-534	-26	15
chr4-196	12	17
chr4-340	-112.5	26
chr4-127	-28.5	24
chr4-656	118	15
chr4-29	-34	13
chr4-535	57	19
chr4-239	57.5	16
chr4-8	32.5	222
chr4-20	12	250
chr4-19	54	459
chr4-781	33.5	12
chr4-120	93	24
chr4-224	62	53
chr4-79	15	123
chr4-565	-62	17
chr4-205	33	15
chr4-150	37	42
chr4-33	9	185
chr4-51	2	103
chr4-95	26	141
chr4-192	22.5	42
chr4-42	-27	78
chr4-200	15	29
chr4-69	31	172
chr4-305	1.5	39
chr4-172	-3	11
chr4-35	1.5	52
chr4-105	67	38
chr4-225	13.5	15
chr4-899	30	10
chr4-216	-12	15
chr4-201	64.5	38
chr4-85	35	46
chr4-688	73.5	14
chr4-198	-11	11
chr4-226	76	43
chr4-978	-154.5	10
chr4-243	48	51
chr4-123	-36	45
chr4-143	-21	75
chr4-267	72	23
chr4-406	-32	28
chr4-162	21.5	46
chr4-173	68	54
chr4-261	99.5	31
chr4-377	-20	16
chr4-134	0.5	32
chr4-27	-4	50
chr4-39	-99.5	112
chr4-202	23	19
chr4-435	-35.5	11
chr4-50	83	125
chr4-631	-22.5	16
chr4-18	139	174
chr4-49	5	154
chr4-100	59	53
chr4-48	31	111
chr4-514	57.5	10
chr4-190	17	35
chr4-92	53.5	34
chr4-213	-9	42
chr4-393	-7.5	22
chr4-156	30.5	28
chr4-262	58	32
chr4-219	-5.5	17
chr4-254	14	14
chr4-293	-7	18
chr4-273	-5	17
chr4-163	17	39
chr4-789	0.5	12
chr4-52	-10	10
chr4-359	-12	13
chr4-290	-45	13
chr4-107	47.5	62
chr4-281	191	10
chr4-64	-13.5	75
chr4-151	-18	13
chr4-41	-1.5	162
chr4-126	30	105
chr4-408	18.5	21
chr4-285	-14	10
chr4-63	-22.5	26
chr4-457	45.5	24
chr4-199	-6	34
chr4-157	10.5	22
chr4-250	53.5	50
chr4-174	68	44
chr4-97	2	73
chr4-349	39	22
chr4-145	35	37
chr4-168	5	31
chr4-169	-74	10
chr4-217	71	31
chr4-58	28	36
chr4-86	-20.5	11
chr4-667	91	15
chr4-43	-19	28
chr4-179	-9.5	13
chr4-398	-4	11
chr4-331	11.5	20
chr4-274	-3	18
chr4-25	5	136
chr4-269	-18.5	34
chr4-227	22.5	13
chr4-593	9	17
chr4-220	-11.5	12
chr4-10	46	13
chr4-124	-13	21
chr4-255	-18	33
chr4-17	20	273
chr4-116	12	29
chr4-458	29	24
chr4-380	29	26
chr4-640	67.5	16
chr4-32	8	53
chr4-574	-13.5	11
chr4-109	33	34
chr4-71	13	25
chr4-185	53.5	23
chr4-189	99.5	21
chr4-256	4	14
chr4-361	56.5	12
chr4-70	36	63
chr4-294	-1	31
chr4-291	106	11
chr4-104	48	55
chr4-4	32	1123
chr4-341	-34.5	13
chr4-13	28	603
chr4-548	82	19
chr4-102	113.5	58
chr4-436	80	15
chr4-253	-24.5	11
chr4-307	-23	13
chr4-144	58.5	10
chr4-519	-17.5	11
chr4-26	3.5	98
chr4-87	27.5	93
chr4-44	3	200
chr4-15	11	243
chr4-805	74	12
chr4-187	10	23
chr4-229	78.5	12
chr4-147	28	43
chr4-2	60	1711
chr5-28	-10	37
chr5-123	75.5	27
chr5-120	63.5	62
chr5-930	-19.5	13
chr5-51	60	204
chr5-113	22	116
chr5-230	-26.5	38
chr5-286	0	13
chr5-25	44	20
chr5-323	-7	11
chr5-432	-154	21
chr5-563	31.5	20
chr5-66	-16.5	56
chr5-39	27	225
chr5-183	78	36
chr5-16	93.5	432
chr5-346	-11	13
chr5-145	14	31
chr5-201	29	36
chr5-264	63	10
chr5-933	-19	11
chr5-239	27	83
chr5-750	-18.5	18
chr5-40	-13.5	138
chr5-452	5.5	25
chr5-549	8	28
chr5-444	29	17
chr5-1062	-49	11
chr5-880	-31.5	14
chr5-157	23	20
chr5-1133	15.5	10
chr5-832	0	16
chr5-108	95	17
chr5-565	90	17
chr5-164	-8.5	52
chr5-342	50	27
chr5-315	17	46
chr5-93	3.5	35
chr5-610	102.5	22
chr5-166	8	107
chr5-283	-2	37
chr5-672	-10	15
chr5-167	22	17
chr5-233	0	49
chr5-268	87	51
chr5-74	76	112
chr5-258	-0.5	10
chr5-29	19	326
chr5-886	20	13
chr5-208	36	45
chr5-1140	-33.5	10
chr5-174	-13	20
chr5-34	-15	13
chr5-8	61.5	614
chr5-465	83	27
chr5-72	6	91
chr5-287	-18	25
chr5-936	61	13
chr5-43	16	226
chr5-377	44.5	17
chr5-75	31.5	194
chr5-47	-18	213
chr5-9	9	569
chr5-188	-14	11
chr5-175	5	15
chr5-316	13.5	20
chr5-7	15	961
chr5-42	-4	91
chr5-349	-47.5	14
chr5-202	9	40
chr5-58	24	70
chr5-129	-0.5	85
chr5-433	-103	17
chr5-3	-28	994
chr5-489	71	11
chr5-116	-29	26
chr5-360	129	35
chr5-224	28	15
chr5-439	60	25
chr5-19	0	41
chr5-324	-2.5	16
chr5-534	31	29
chr5-178	11	101
chr5-395	-31	32
chr5-599	82	11
chr5-21	94.5	286
chr5-44	66	185
chr5-193	-1	52
chr5-600	14	13
chr5-2	24	878
chr5-154	20	63
chr5-158	-29	25
chr5-361	-6	31
chr5-179	15	25
chr5-613	0.5	20
chr5-317	-8.5	38
chr5-502	-6	32
chr5-189	82.5	38
chr5-31	16	115
chr5-354	6.5	20
chr5-240	86.5	56
chr5-522	38.5	25
chr5-15	37	129
chr5-362	1.5	30
chr5-775	-17	17
chr5-536	88.5	10
chr5-245	106.5	42
chr5-212	15	29
chr5-26	12	251
chr5-674	-11	19
chr5-584	40	22
chr5-368	35	28
chr5-445	-40.5	13
chr5-405	38.5	13
chr5-601	8	25
chr5-894	47	15
chr5-38	2	115
chr5-141	18	37
chr5-654	127	10
chr5-655	49.5	18
chr5-279	99.5	24
chr5-696	13	15
chr5-139	13.5	72
chr5-64	45	104
chr5-41	18	15
chr5-160	-17	40
chr5-102	51	73
chr5-898	37	14
chr5-697	-1	16
chr5-396	5.5	28
chr5-355	-10	40
chr5-900	37	13
chr5-280	19	21
chr5-728	55.5	19
chr5-295	33	18
chr5-374	55	31
chr5-363	68.5	40
chr5-35	65	73
chr5-388	-2.5	48
chr5-400	33.5	17
chr5-291	28.5	22
chr5-325	-15.5	16
chr5-241	-5	86
chr5-197	-20	40
chr5-180	-28	97
chr5-514	-20	15
chr5-50	-22.5	12
chr5-301	-31	22
chr5-86	72.5	64
chr5-556	186.5	11
chr5-477	67	35
chr5-153	4	122
chr5-442	-17	16
chr5-847	100	15
chr5-557	43.5	14
chr5-558	97	27
chr5-332	-19	12
chr5-12	-14	90
chr5-80	-8	39
chr5-103	-27.5	167
chr5-242	19.5	20
chr5-95	-11	23
chr5-526	17	10
chr5-661	33	11
chr5-234	34.5	45
chr5-70	1	84
chr5-1089	38	11
chr5-406	-1.5	18
chr5-1024	-3.5	12
chr5-337	-17	31
chr5-527	-16.5	23
chr5-459	12	21
chr5-480	-14.5	12
chr5-45	13	96
chr5-101	26	64
chr5-615	34	11
chr5-246	-5	40
chr5-273	103	35
chr5-1093	27.5	11
chr5-731	10	15
chr5-507	83	11
chr5-813	3	16
chr5-851	-12	15
chr5-235	88.5	56
chr5-110	-18	182
chr5-124	3.5	144
chr5-417	11	43
chr5-397	-17.5	12
chr5-78	1.5	32
chr5-96	44	15
chr5-311	24	34
chr5-759	99	10
chr5-964	47	13
chr5-306	53.5	22
chr5-146	4	43
chr5-364	-6	11
chr5-1097	-8	11
chr5-236	-9	20
chr5-855	-24.5	12
chr5-907	15	14
chr5-100	16.5	68
chr5-296	31	10
chr5-356	30	10
chr5-185	104.5	112
chr5-194	70.5	62
chr5-318	7	11
chr5-271	13	39
chr5-97	112	68
chr5-73	40	78
chr5-94	41	204
chr5-319	-22	21
chr5-912	1	11
chr5-402	57	15
chr5-23	-40.5	28
chr5-708	-3	16
chr5-389	130.5	10
chr5-313	74.5	24
chr5-665	87.5	12
chr5-6	-21	935
chr5-54	-2	18
chr5-98	11	185
chr5-411	79.5	44
chr5-345	56	13
chr5-11	10	17
chr5-735	23	19
chr5-121	-22	119
chr5-198	4.5	24
chr5-590	-16	19
chr5-99	19	76
chr5-210	4	76
chr5-133	-21	153
chr5-226	-25	63
chr5-508	59.5	10
chr5-49	-0.5	80
chr5-248	-18.5	17
chr5-190	46.5	35
chr5-33	-29	49
chr5-200	12	31
chr5-59	-10	15
chr5-517	70	31
chr5-709	10	19
chr5-79	33	11
chr5-91	14	49
chr5-168	-15	55
chr5-104	2	41
chr5-71	18	12
chr5-84	-19.5	40
chr5-227	61	47
chr5-112	94	135
chr5-289	4	40
chr5-819	-103	16
chr5-92	29	51
chr5-62	-14	113
chr5-1108	-64	10
chr5-177	72.5	23
chr5-370	20	14
chr5-63	21.5	12
chr5-228	-4	29
chr5-213	126	48
chr5-260	-6.5	18
chr5-69	-21.5	164
chr5-82	-38	26
chr5-204	18	37
chr5-641	-27	13
chr5-127	34.5	46
chr5-380	16.5	10
chr5-159	70	76
chr5-205	-3.5	54
chr5-150	-5.5	18
chr5-85	-11.5	56
chr5-253	1	12
chr5-327	11	23
chr5-206	-14.5	18
chr5-593	45.5	26
chr5-594	4	12
chr5-303	-11	37
chr5-53	-4	169
chr5-1201	-105	11
chr5-192	11	107
chr5-137	-38.5	152
chr5-55	8.5	22
chr5-320	-5	21
chr5-298	22	11
chr5-975	-95	13
chr5-642	51.5	10
chr5-308	126	21
chr5-261	29.5	26
chr5-519	0	15
chr5-713	-12.5	18
chr5-385	-70	36
chr5-1209	-3	10
chr5-272	-11.5	16
chr5-211	159	21
chr5-14	21	209
chr5-5	13.5	78
chr5-17	22	45
chr5-977	98	12
chr5-921	-17	14
chr5-262	-15	11
chr5-156	-75	69
chr5-560	5	11
chr5-267	55	23
chr5-357	-23	11
chr5-135	39	65
chr5-1042	44	12
chr5-561	4	23
chr5-237	8.5	53
chr5-251	-37.5	70
chr5-428	-8.5	33
chr5-27	-9	10
chr5-13	-53	783
chr5-574	24	19
chr5-88	13	46
chr5-340	26	35
chr5-186	83.5	58
chr5-187	43.5	33
chr5-165	-18.5	58
chr5-512	-14	32
chr5-48	-12	348
chr5-275	26.5	28
chr5-18	10.5	146
chr5-766	10	12
chr5-52	-17.5	68
chr5-304	36.5	36
chr5-4	39	815
chr5-172	15	84
chr5-742	-2.5	16
chr5-472	19	12
chr5-983	-38	11
chr5-36	21	291
chr5-76	-20	19
chr5-128	67	89
chr5-1	27	2536
chr5-608	40	16
chr5-77	-26	14
chr5-321	-29.5	22
chr5-138	49	133
chr5-176	-48	77
chr5-182	-0.5	46
chr5-229	-104.5	92
chr5-111	50.5	43
chr5-493	28	26
chr5-238	26	88
chr5-10	23	306
chr5-220	-14.5	10
chr5-282	1.5	72
chr5-144	47	136
chr5-90	-31	14
chr5-686	119.5	20
chr5-381	-80	12
chr5-46	36.5	154
chr5-343	-6	13
chr5-403	43	23
chr5-126	20	41
chr5-322	6	39
chr5-376	77	13
chr5-341	59.5	58
chr5-24	6	247
chr5-170	7.5	90
chr5-151	-5	65
chr5-464	4	13
chr5-147	48.5	122
chr5-136	-9	153
chr6-64	-13	105
chr6-298	15	30
chr6-269	36	47
chr6-277	10.5	27
chr6-118	3	105
chr6-369	20	39
chr6-101	43	27
chr6-218	38	22
chr6-291	-2.5	15
chr6-14	0	289
chr6-198	36	97
chr6-512	27	22
chr6-159	23	17
chr6-180	-36	106
chr6-87	1	103
chr6-310	-48.5	30
chr6-132	-22	149
chr6-231	15	24
chr6-115	12	34
chr6-55	-18	345
chr6-640	63.5	16
chr6-189	-2.5	64
chr6-97	29.5	65
chr6-690	138	12
chr6-92	-51.5	80
chr6-38	23	261
chr6-129	19	47
chr6-659	20	20
chr6-109	4	113
chr6-76	4	29
chr6-414	2	15
chr6-25	35	416
chr6-716	84.5	17
chr6-191	69	55
chr6-335	-32	12
chr6-204	21	26
chr6-304	-26	45
chr6-135	57	54
chr6-777	33	15
chr6-47	9.5	140
chr6-812	27.5	10
chr6-514	34	13
chr6-357	108	16
chr6-374	56	31
chr6-66	20	78
chr6-61	75	158
chr6-535	91	13
chr6-720	21	12
chr6-9	-9.5	27
chr6-144	-11.5	20
chr6-589	15	23
chr6-169	21	117
chr6-35	22	162
chr6-274	-6.5	12
chr6-176	-38	12
chr6-388	16	41
chr6-443	-70	29
chr6-17	6	213
chr6-451	51.5	13
chr6-466	47	13
chr6-201	-2	22
chr6-59	16	18
chr6-45	-29	83
chr6-68	4	12
chr6-62	4	233
chr6-99	-15.5	176
chr6-326	-47	10
chr6-10	1	587
chr6-4	20	1636
chr6-265	135	34
chr6-133	58	61
chr6-415	33.5	38
chr6-960	-127	11
chr6-71	19	160
chr6-327	-24	55
chr6-467	74	27
chr6-275	-18	61
chr6-381	119	15
chr6-185	26.5	72
chr6-280	58	17
chr6-193	-9	41
chr6-154	-27	18
chr6-453	-42	27
chr6-102	-17	121
chr6-107	7	89
chr6-156	2	123
chr6-130	-84	35
chr6-339	30	14
chr6-167	-1	116
chr6-224	74	65
chr6-5	33	1450
chr6-660	-11	14
chr6-256	-11	62
chr6-125	-3.5	12
chr6-149	-75	11
chr6-85	-2	17
chr6-860	-30	13
chr6-964	-90.5	10
chr6-112	37	105
chr6-43	7	69
chr6-306	-52	14
chr6-207	-57.5	58
chr6-423	105.5	22
chr6-744	127.5	16
chr6-41	70.5	186
chr6-108	-14.5	28
chr6-605	-180	16
chr6-103	6.5	63
chr6-37	46	15
chr6-861	-17	13
chr6-365	3.5	46
chr6-389	22.5	14
chr6-84	-7.5	155
chr6-258	8	25
chr6-220	-18.5	51
chr6-525	-17	13
chr6-77	7.5	108
chr6-358	-18	12
chr6-48	-16.5	77
chr6-21	16	580
chr6-67	12	53
chr6-56	54	245
chr6-281	-16	34
chr6-124	-14	59
chr6-210	-29	18
chr6-104	-1	14
chr6-435	-16	23
chr6-27	7	137
chr6-6	82	329
chr6-526	-7	27
chr6-72	1.5	18
chr6-114	15	16
chr6-493	2.5	14
chr6-819	-17.5	14
chr6-105	27	69
chr6-481	50	14
chr6-399	9	20
chr6-516	1.5	17
chr6-1020	86	10
chr6-7	-32.5	14
chr6-188	-37	91
chr6-73	32	176
chr6-46	-134.5	32
chr6-751	82.5	13
chr6-94	12	65
chr6-626	5	10
chr6-400	12	40
chr6-863	15.5	13
chr6-352	-35	32
chr6-425	14	15
chr6-426	-5	34
chr6-116	10.5	94
chr6-321	14.5	14
chr6-175	121.5	10
chr6-259	18	25
chr6-820	119	13
chr6-164	31	56
chr6-1	127	1921
chr6-24	-58	602
chr6-42	-105.5	424
chr6-194	3	41
chr6-75	6	121
chr6-3	-8	322
chr6-908	-10	10
chr6-560	-7	11
chr6-222	-99	85
chr6-302	6	29
chr6-698	100.5	11
chr6-146	26.5	51
chr6-311	61	19
chr6-650	12.5	20
chr6-141	-22	65
chr6-143	56	81
chr6-725	8	15
chr6-322	49	18
chr6-700	12	10
chr6-39	-6	135
chr6-209	37	43
chr6-157	-15.5	12
chr6-594	-9.5	23
chr6-264	71.5	53
chr6-18	12	424
chr6-225	23	26
chr6-345	-16	13
chr6-359	22	20
chr6-323	91.5	10
chr6-975	-16	11
chr6-353	29	33
chr6-138	-23	12
chr6-826	17.5	10
chr6-161	6.5	10
chr6-703	55.5	17
chr6-484	14.5	20
chr6-229	35	37
chr6-828	58.5	14
chr6-266	35.5	34
chr6-195	8	17
chr6-428	-17.5	28
chr6-136	-17.5	14
chr6-60	-18.5	46
chr6-165	0	75
chr6-294	-29	11
chr6-91	0	75
chr6-69	-24	104
chr6-706	52	16
chr6-401	-13.5	28
chr6-182	-14	73
chr6-31	-7	77
chr6-20	-3	109
chr6-366	13	14
chr6-367	-37	31
chr6-121	22	73
chr6-80	51	209
chr6-409	58.5	39
chr6-261	51	53
chr6-65	-6.5	38
chr6-120	-5	97
chr6-15	-20	245
chr6-51	-2	40
chr6-30	22	34
chr6-456	111.5	24
chr6-289	0.5	30
chr6-284	81	10
chr6-319	-1	27
chr6-793	11.5	10
chr6-402	43.5	36
chr6-485	8	32
chr6-240	-60	78
chr6-28	-39	85
chr6-273	43	25
chr6-152	27	53
chr6-598	29	15
chr6-81	-27	116
chr6-213	-51	49
chr6-610	10	11
chr6-528	14	15
chr6-83	58	159
chr6-249	79.5	22
chr6-459	8	12
chr6-632	122	11
chr6-250	81	50
chr6-330	105	15
chr6-178	54	107
chr6-708	1.5	17
chr6-254	11	29
chr6-411	83	36
chr6-487	30.5	12
chr6-168	-32	104
chr6-509	23	21
chr6-57	7	151
chr6-633	-14.5	16
chr6-799	30	10
chr6-126	3	15
chr6-196	78	10
chr6-876	36	13
chr6-762	47.5	16
chr6-655	131	15
chr6-290	114.5	12
chr6-764	-8	11
chr6-320	118.5	26
chr6-680	13	17
chr6-110	26.5	30
chr6-214	0	11
chr6-295	-6.5	58
chr6-549	-14	12
chr6-932	88	12
chr6-634	4	10
chr6-216	16	23
chr6-100	44	92
chr6-74	13	43
chr6-333	48	34
chr6-233	48	23
chr6-244	20	57
chr6-58	-7.5	24
chr6-286	4	41
chr6-119	24	135
chr6-324	13	45
chr6-179	57	77
chr6-530	49	12
chr6-377	-3.5	39
chr6-474	-20.5	12
chr6-117	43.5	76
chr6-234	19	30
chr6-372	-2	23
chr6-241	-26	43
chr6-32	-12	31
chr6-8	-7	117
chr6-44	-4	41
chr6-86	32	13
chr6-325	62	53
chr6-1058	14	10
chr6-396	19.5	26
chr6-33	-29	29
chr6-26	0	396
chr6-113	5	21
chr6-355	25	29
chr6-190	96.5	18
chr6-131	52.5	150
chr6-361	-41.5	34
chr6-510	120	19
chr6-79	43	27
chr6-994	-3	11
chr6-412	109	39
chr6-683	23	19
chr6-197	70	55
chr6-192	-13	11
chr6-309	63	38
chr6-384	57	11
chr6-737	24	19
chr6-82	4	55
chr6-50	4.5	35
chr6-139	13	34
chr6-246	7	56
chr6-476	18	25
chr6-397	-18	15
chr7-105	36	23
chr7-557	-9.5	10
chr7-26	101	191
chr7-59	62.5	14
chr7-1	-16	153
chr7-219	9.5	61
chr7-76	2	31
chr7-281	33	49
chr7-176	9	17
chr7-860	6	17
chr7-54	24	14
chr7-1027	-34.5	12
chr7-1165	81.5	10
chr7-204	-14.5	30
chr7-127	61.5	96
chr7-896	-32	15
chr7-318	-13	27
chr7-302	36.5	35
chr7-47	74	290
chr7-235	18	36
chr7-167	-15	21
chr7-130	0.5	54
chr7-1090	44	11
chr7-13	11	469
chr7-5	91	800
chr7-45	21.5	124
chr7-287	-3	32
chr7-9	125	741
chr7-96	-22	105
chr7-187	37	39
chr7-488	36	28
chr7-674	19.5	23
chr7-445	-21.5	34
chr7-137	10	147
chr7-66	90	195
chr7-763	-55	15
chr7-369	16	16
chr7-440	-127.5	40
chr7-574	-55.5	28
chr7-822	150	12
chr7-788	-16	11
chr7-257	32.5	52
chr7-258	1	24
chr7-174	-5.5	21
chr7-308	-96	45
chr7-477	-5	14
chr7-273	88	11
chr7-867	-18.5	11
chr7-611	74	15
chr7-1033	-32	12
chr7-497	94	15
chr7-546	32	27
chr7-339	-1.5	17
chr7-519	-70	32
chr7-236	8.5	51
chr7-498	4.5	11
chr7-282	21.5	20
chr7-869	-19	15
chr7-1183	3.5	10
chr7-1185	0.5	10
chr7-190	23.5	56
chr7-211	17	61
chr7-119	-12	27
chr7-1102	-14	11
chr7-233	5	13
chr7-3	-13	1156
chr7-15	10	210
chr7-49	-1	37
chr7-268	22.5	41
chr7-175	72	99
chr7-357	15	17
chr7-467	64	18
chr7-148	9	17
chr7-447	-4.5	12
chr7-714	-9	10
chr7-531	-29	31
chr7-140	-27.5	25
chr7-340	38	24
chr7-286	23.5	57
chr7-84	15.5	54
chr7-207	68.5	62
chr7-433	47	26
chr7-768	-2	11
chr7-58	12.5	110
chr7-92	14	44
chr7-60	-35	29
chr7-43	17.5	216
chr7-520	59	21
chr7-134	31.5	34
chr7-8	23.5	292
chr7-121	44	55
chr7-1105	-14	13
chr7-90	34	102
chr7-109	-8	29
chr7-411	-6	44
chr7-521	-11.5	32
chr7-89	15	31
chr7-249	-2.5	12
chr7-1043	104.5	12
chr7-351	14	11
chr7-97	17	125
chr7-83	9	63
chr7-412	0.5	28
chr7-25	-24.5	80
chr7-327	-35.5	24
chr7-470	59.5	20
chr7-259	90	43
chr7-86	-23	23
chr7-20	42	217
chr7-156	10	20
chr7-655	-24	22
chr7-615	36	13
chr7-52	74.5	151
chr7-39	4	115
chr7-210	-37.5	13
chr7-106	3	156
chr7-138	12	31
chr7-980	-32	10
chr7-171	-44	94
chr7-117	15.5	16
chr7-360	36	31
chr7-18	2	372
chr7-253	37	10
chr7-103	4	44
chr7-1110	-28.5	11
chr7-95	83	84
chr7-683	-117	22
chr7-98	17	63
chr7-283	-111.5	72
chr7-33	1	291
chr7-872	1.5	24
chr7-361	96.5	22
chr7-617	-32	15
chr7-293	-20.5	22
chr7-28	39	309
chr7-218	-45	13
chr7-441	77	38
chr7-577	13	21
chr7-129	3	82
chr7-719	-28	11
chr7-310	-25	55
chr7-32	21	119
chr7-179	-1	37
chr7-265	-22	28
chr7-255	-130	83
chr7-101	-4	69
chr7-215	-12	43
chr7-184	108	55
chr7-247	12	48
chr7-111	18	144
chr7-57	16.5	14
chr7-116	-61	204
chr7-81	2	110
chr7-14	-70	976
chr7-62	11	322
chr7-120	-130	187
chr7-371	-16	19
chr7-1201	-5.5	10
chr7-110	-19	55
chr7-118	13.5	14
