transcript	ss_distance_to_3end
chr11-314__ENST00000531709.6__ENSG00000162231.13__NXF1__NXF1-006__last_exon__in_PolyA_DB	-1153,-1084,-1028,-920,-861,-745,-702,-629,-446,-385
chr11-633__ENST00000536887.5__ENSG00000168004.9__HRASLS5__HRASLS5-004__last_exon__in_PolyA_DB	-2192
chr11-1512__ENST00000309422.6__ENSG00000173511.9__VEGFB__VEGFB-001__last_exon__in_PolyA_DB	-432
chr11-646__ENST00000530735.5__ENSG00000168070.11__MAJIN__MAJIN-001__last_exon__in_PolyA_DB	-909,-833,-707,-675,-583,-519,-446,-340
chr11-1018__ENST00000529996.1__ENSG00000168061.14__SAC3D1__SAC3D1-005__last_exon__in_PolyA_DB	-604
chr11-76__ENST00000525754.5__ENSG00000173914.11__RBM4B__RBM4B-002__last_exon__in_PolyA_DB	-581
chr11-256__ENST00000637084.1__ENSG00000162341.16__TPCN2__TPCN2-007__last_exon__in_PolyA_DB	-488,-390
chr11-1175__ENST00000253925.11__ENSG00000131626.16__PPFIA1__PPFIA1-001__last_exon__in_PolyA_DB	-351
chr11-797__ENST00000253925.11__ENSG00000131626.16__PPFIA1__PPFIA1-001__last_exon__in_PolyA_DB	-446
chr11-77__ENST00000253925.11__ENSG00000131626.16__PPFIA1__PPFIA1-001__last_exon__in_PolyA_DB	-1394
chr11-170__ENST00000525200.5__ENSG00000172890.11__NADSYN1__NADSYN1-003__last_exon__in_PolyA_DB	-1511,-1436,-1311,-1262,-1159,-990,-854,-747,-615,-545,-416,-239
chr11-881__ENST00000393713.7__ENSG00000137522.17__RNF121__RNF121-002__last_exon__in_PolyA_DB	-1403
chr11-1025__ENST00000064778.8__ENSG00000054965.10__FAM168A__FAM168A-003__last_exon__in_PolyA_DB	-5689
chr11-523__ENST00000064778.8__ENSG00000054965.10__FAM168A__FAM168A-003__last_exon__in_PolyA_DB	-2312
chr11-1532__ENST00000064778.8__ENSG00000054965.10__FAM168A__FAM168A-003__last_exon__in_PolyA_DB	-2186
chr11-972__ENST00000064778.8__ENSG00000054965.10__FAM168A__FAM168A-003__last_exon__in_PolyA_DB	-1903
chr11-23__ENST00000531188.5__ENSG00000149273.14__RPS3__RPS3-001__last_exon__in_PolyA_DB	-76
chr11-939__ENST00000465313.6__ENSG00000177225.16__PDDC1__PDDC1-010__last_exon__in_PolyA_DB	-152
chr11-443__ENST00000525428.5__ENSG00000074201.8__CLNS1A__CLNS1A-001__last_exon__in_PolyA_DB	-542
chr11-800__ENST00000433818.6__ENSG00000149262.16__INTS4__INTS4-002__last_exon__in_PolyA_DB	-2881,-2830,-2741,-2620,-2548,-2373,-2167,-2024,-1908,-1774,-1616,-1382,-1199,-1105,-1024,-893,-833,-673,-529,-408
chr11-584__ENST00000281030.2__ENSG00000151365.2__THRSP__THRSP-001__last_exon__in_PolyA_DB	-693
chr11-546__ENST00000326053.9__ENSG00000176029.13__C11orf16__C11orf16-001__last_exon__in_PolyA_DB	-375
chr11-1623__ENST00000524543.5__ENSG00000166471.10__TMEM41B__TMEM41B-002__last_exon__in_PolyA_DB	-2934
chr12-1398__ENST00000378244.6__ENSG00000166153.16__DEPDC4__DEPDC4-006__intron__uncertain	-836,-710,-626,-423,-273
chr12-893__ENST00000552854.1__ENSG00000139354.10__GAS2L3__GAS2L3-007__last_exon__in_PolyA_DB	-798
chr12-741__ENST00000552215.5__ENSG00000111666.10__CHPT1__CHPT1-005__last_exon__in_PolyA_DB	-1163,-1031,-872,-746
chr12-712__ENST00000552215.5__ENSG00000111666.10__CHPT1__CHPT1-005__last_exon__in_PolyA_DB	-3192,-3060,-2901,-2775
chr12-451__ENST00000544341.5__ENSG00000120860.10__CCDC53__CCDC53-003__last_exon__in_PolyA_DB	-251
chr12-441__ENST00000541960.5__ENSG00000139112.10__GABARAPL1__GABARAPL1-020__last_exon__in_PolyA_DB	-1540,-1461,-1342
chr12-936__ENST00000550053.5__ENSG00000136051.13__KIAA1033__KIAA1033-003__last_exon__in_PolyA_DB	-3976,-3855,-3731,-3603,-3442,-3315,-3189,-3081,-2934,-2854,-2748,-2631,-2462,-2307,-2232,-2127,-1992,-1883,-1816,-1729,-1581,-1484,-1287,-1187
chr12-382__ENST00000443585.5__ENSG00000235162.8__C12orf75__C12orf75-001__last_exon__in_PolyA_DB	-620
chr12-289__ENST00000443585.5__ENSG00000235162.8__C12orf75__C12orf75-001__last_exon__in_PolyA_DB	-885
chr12-165__ENST00000279550.11__ENSG00000060138.12__YBX3__YBX3-003__last_exon__in_PolyA_DB	-566
chr12-42__ENST00000008527.9__ENSG00000008405.11__CRY1__CRY1-001__last_exon__in_PolyA_DB	-638
chr12-10__ENST00000539287.5__ENSG00000076248.10__UNG__UNG-003__last_exon__in_PolyA_DB	-1161
chr12-25__ENST00000377685.9__ENSG00000174437.16__ATP2A2__ATP2A2-002__other_exon__in_PolyA_DB	-3763,-3658,-3519,-3438,-3352,-2887,-2798,-2695,-2563,-2440,-2221,-1885,-1664,-1461,-1375,-1241,-1123
chr12-155__ENST00000551590.5__ENSG00000204852.15__TCTN1__TCTN1-001__last_exon__in_PolyA_DB	-84
chr12-611__ENST00000547878.6__ENSG00000198270.12__TMEM116__TMEM116-004__last_exon__in_PolyA_DB	-1288,-1123,-1018,-968,-884,-745,-600,-526
chr12-744__ENST00000351677.6__ENSG00000179295.16__PTPN11__PTPN11-001__last_exon__in_PolyA_DB	-4089
chr12-1594__ENST00000545145.6__ENSG00000122965.10__RBM19__RBM19-003__after_last_exon__in_PolyA_DB	-1447
chr12-799__ENST00000470612.5__ENSG00000088992.17__TESC__TESC-002__after_last_exon__in_PolyA_DB	-755,-707
chr12-18__ENST00000470612.5__ENSG00000088992.17__TESC__TESC-002__last_exon__in_PolyA_DB	-332,-284
chr12-1852__ENST00000462502.5__ENSG00000088992.17__TESC__TESC-003__after_last_exon__uncertain	-1325,-1263
chr12-1663__ENST00000266434.8__ENSG00000121380.12__BCL2L14__BCL2L14-003__last_exon__in_PolyA_DB	-746
chr12-1330__ENST00000228862.3__ENSG00000111266.8__DUSP16__DUSP16-201__intron__uncertain	-1569
chr12-1090__ENST00000441390.6__ENSG00000151948.11__GLT1D1__GLT1D1-003__last_exon__in_PolyA_DB	-593,-543,-499,-378,-279
chr12-345__ENST00000446583.6__ENSG00000111452.12__ADGRD1__ADGRD1-008__last_exon__in_PolyA_DB	-2302
chr12-1456__ENST00000544018.6__ENSG00000204583.9__LRCOL1__LRCOL1-002__last_exon__in_PolyA_DB	-254
chr12-652__ENST00000543468.5__ENSG00000151491.12__EPS8__EPS8-002__last_exon__in_PolyA_DB	-2818,-2691,-2602,-2527,-2378,-2194,-2060,-1951,-1807,-1584,-1403,-1273
chr12-486__ENST00000299275.10__ENSG00000052126.14__PLEKHA5__PLEKHA5-002__last_exon__in_PolyA_DB	-870
chr12-128__ENST00000537553.5__ENSG00000110888.17__CAPRIN2__CAPRIN2-006__last_exon__in_PolyA_DB	-5833,-5665,-5621,-4943,-4820,-4738,-4682,-2845,-1127,-1026,-962
chr12-1351__ENST00000537553.5__ENSG00000110888.17__CAPRIN2__CAPRIN2-006__other_exon__in_PolyA_DB	-3556,-3388,-3344,-2666,-2543,-2461,-2405,-568
chr12-104__ENST00000435753.6__ENSG00000013573.16__DDX11__DDX11-002__last_exon__in_PolyA_DB	-3090,-2982,-2894,-2690,-2537,-2490,-2410,-2365,-2297,-2258,-2149,-2017,-1904,-1831,-1699,-1549,-1480,-1379,-1294,-1215
chr12-1355__ENST00000547459.5__ENSG00000151239.13__TWF1__TWF1-004__last_exon__in_PolyA_DB	-2707,-2629,-2450,-2354,-2249,-2123,-1972,-1850
chr12-1128__ENST00000550630.5__ENSG00000177119.15__ANO6__ANO6-004__last_exon	-417,-354,-274
chr12-858__ENST00000442992.6__ENSG00000111247.14__RAD51AP1__RAD51AP1-016__last_exon__in_PolyA_DB	-1571,-1477,-1426,-1316,-1229,-1079,-914,-764
chr12-874__ENST00000552189.5__ENSG00000079387.13__SENP1__SENP1-001__last_exon__in_PolyA_DB	-3686,-3514,-3410,-3126,-3071,-3032,-2947,-2791,-2659,-2455,-2375,-2290,-2194
chr12-1357__ENST00000552189.5__ENSG00000079387.13__SENP1__SENP1-001__last_exon__in_PolyA_DB	-3108,-2936,-2832,-2548,-2493,-2454,-2369,-2213,-2081,-1877,-1797,-1712,-1616
chr12-543__ENST00000547581.5__ENSG00000152556.15__PFKM__PFKM-003__last_exon__in_PolyA_DB	-2906,-2832,-2754,-2564,-2398,-2353,-2244,-1803,-1677,-1612,-1548,-1398,-1327,-1239,-1086,-921,-859,-747,-647,-541
chr12-919__ENST00000548147.5__ENSG00000139620.12__KANSL2__KANSL2-004__after_last_exon__in_PolyA_DB	-1431,-1264,-1167,-1015,-895
chr12-510__ENST00000618666.4__ENSG00000129315.9__CCNT1__CCNT1-201__last_exon__in_PolyA_DB	-5975
chr12-428__ENST00000380189.8__ENSG00000139624.12__CERS5__CERS5-003__last_exon__in_PolyA_DB	-2268,-2161,-2004,-897
chr12-1360__ENST00000637709.1__ENSG00000196876.14__SCN8A__SCN8A-010__last_exon__in_PolyA_DB	-6331,-6109,-6045,-5903,-5696,-5402,-5039,-4906,-4667,-4493,-4136,-3665,-3547,-3392,-3218,-3095,-2810,-2756,-2618,-2513,-2242
chr12-1510__ENST00000637709.1__ENSG00000196876.14__SCN8A__SCN8A-010__last_exon__in_PolyA_DB	-8909,-8687,-8623,-8481,-8274,-7980,-7617,-7484,-7245,-7071,-6714,-6243,-6125,-5970,-5796,-5673,-5388,-5334,-5196,-5091,-4820
chr12-59__ENST00000552671.5__ENSG00000135476.11__ESPL1__ESPL1-001__last_exon__in_PolyA_DB	-6446,-5384,-5279,-5158,-5021,-4827,-4587,-4442,-4303,-4163,-4028,-3908,-3736,-3607,-3450,-3340,-2351,-1981,-1819,-1605,-1414,-1286,-1163,-1007,-836,-731,-615,-531,-366
chr12-9__ENST00000546500.5__ENSG00000135486.17__HNRNPA1__HNRNPA1-001__last_exon__in_PolyA_DB	-333
chr12-134__ENST00000546500.5__ENSG00000135486.17__HNRNPA1__HNRNPA1-001__last_exon__in_PolyA_DB	-698
chr12-288__ENST00000546500.5__ENSG00000135486.17__HNRNPA1__HNRNPA1-001__last_exon__in_PolyA_DB	-2539
chr12-20__ENST00000552397.5__ENSG00000170627.10__GTSF1__GTSF1-002__last_exon__in_PolyA_DB	-194
chr12-514__ENST00000348108.8__ENSG00000092841.18__MYL6__MYL6-024__last_exon__in_PolyA_DB	-188
chr12-1047__ENST00000486433.5__ENSG00000135423.12__GLS2__GLS2-003__last_exon__in_PolyA_DB	-1345,-1294,-1117,-985,-892,-830,-753,-689
chr12-232__ENST00000262031.9__ENSG00000076067.11__RBMS2__RBMS2-001__last_exon__in_PolyA_DB	-467
chr12-758__ENST00000262031.9__ENSG00000076067.11__RBMS2__RBMS2-001__last_exon__in_PolyA_DB	-698
chr12-528__ENST00000555774.5__ENSG00000182199.10__SHMT2__SHMT2-012__last_exon__in_PolyA_DB	-1605,-1523,-1372,-1232,-1066,-966,-810,-702
chr12-1143__ENST00000628866.2__ENSG00000166986.13__MARS__MARS-202__intron	-357,-250
chr12-529__ENST00000537638.6__ENSG00000166986.13__MARS__MARS-002__after_last_exon__in_PolyA_DB	-1223,-1009,-877,-772,-585,-513,-420,-290
chr12-83__ENST00000540759.6__ENSG00000166908.17__PIP4K2C__PIP4K2C-004__last_exon__in_PolyA_DB	-1493
chr12-538__ENST00000203630.9__ENSG00000089693.10__MLF2__MLF2-001__last_exon__in_PolyA_DB	-550
chr12-76__ENST00000250559.13__ENSG00000127314.17__RAP1B__RAP1B-001__last_exon__in_PolyA_DB	-1243
chr12-338__ENST00000435070.6__ENSG00000111605.16__CPSF6__CPSF6-001__last_exon__in_PolyA_DB	-428
chr12-347__ENST00000456013.5__ENSG00000111679.16__PTPN6__PTPN6-201__last_exon__in_PolyA_DB	-191
chr12-807__ENST00000313599.7__ENSG00000177675.8__CD163L1__CD163L1-001__last_exon__in_PolyA_DB	-171
chr12-1245__ENST00000266671.9__ENSG00000139289.13__PHLDA1__PHLDA1-001__last_exon__in_PolyA_DB	-530
chr12-1777__ENST00000266671.9__ENSG00000139289.13__PHLDA1__PHLDA1-001__last_exon__in_PolyA_DB	-433
chr12-833__ENST00000333447.11__ENSG00000139220.16__PPFIA2__PPFIA2-201__last_exon__in_PolyA_DB	-394
chr12-993__ENST00000546590.2__ENSG00000179104.8__TMTC2__TMTC2-005__last_exon__in_PolyA_DB	-3507,-3392,-3306,-3121,-3042,-2920,-2838,-2723,-2659
chr12-350__ENST00000299698.11__ENSG00000166535.19__A2ML1__A2ML1-001__last_exon__in_PolyA_DB	-726
chr12-213__ENST00000537475.1__ENSG00000166535.19__A2ML1__A2ML1-006__after_last_exon	-600,-507
chr12-256__ENST00000541507.5__ENSG00000003056.7__M6PR__M6PR-002__after_last_exon__in_PolyA_DB	-1580
chr12-739__ENST00000552632.5__ENSG00000173588.14__CEP83__CEP83-006__after_last_exon__in_PolyA_DB	-233
chr12-1265__ENST00000552632.5__ENSG00000173588.14__CEP83__CEP83-006__last_exon	-138
chr13-415__ENST00000487903.5__ENSG00000068650.18__ATP11A__ATP11A-001__last_exon__in_PolyA_DB	-5175
chr13-520__ENST00000487903.5__ENSG00000068650.18__ATP11A__ATP11A-001__last_exon__in_PolyA_DB	-5351
chr13-334__ENST00000375403.6__ENSG00000150401.14__DCUN1D2__DCUN1D2-001__last_exon__in_PolyA_DB	-2470,-2387,-2290
chr13-89__ENST00000360383.7__ENSG00000130177.14__CDC16__CDC16-201__last_exon__in_PolyA_DB	-112
chr13-266__ENST00000314759.5__ENSG00000165480.15__SKA3__SKA3-001__last_exon__in_PolyA_DB	-1556
chr13-87__ENST00000314759.5__ENSG00000165480.15__SKA3__SKA3-001__last_exon__in_PolyA_DB	-1231
chr13-650__ENST00000314759.5__ENSG00000165480.15__SKA3__SKA3-001__last_exon__in_PolyA_DB	-145
chr13-120__ENST00000255324.9__ENSG00000132972.18__RNF17__RNF17-003__last_exon	-185
chr13-126__ENST00000616936.4__ENSG00000151849.14__CENPJ__CENPJ-202__last_exon__in_PolyA_DB	-789,-678,-537,-452,-331
chr13-49__ENST00000357505.10__ENSG00000244754.8__N4BP2L2__N4BP2L2-201__last_exon__in_PolyA_DB	-188
chr13-44__ENST00000490716.5__ENSG00000102710.19__SUPT20H__SUPT20H-018__last_exon__in_PolyA_DB	-1039,-884,-828,-708,-602,-498
chr13-79__ENST00000490716.5__ENSG00000102710.19__SUPT20H__SUPT20H-018__last_exon__in_PolyA_DB	-857,-702,-646,-526,-420,-316
chr13-488__ENST00000379561.5__ENSG00000150907.7__FOXO1__FOXO1-001__last_exon__in_PolyA_DB	-3271
chr13-759__ENST00000379561.5__ENSG00000150907.7__FOXO1__FOXO1-001__last_exon__in_PolyA_DB	-2613
chr13-420__ENST00000239852.10__ENSG00000120662.15__MTRF1__MTRF1-008__last_exon__in_PolyA_DB	-645,-553,-471
chr13-865__ENST00000325686.6__ENSG00000179630.10__LACC1__LACC1-001__last_exon__in_PolyA_DB	-2484
chr13-155__ENST00000486464.1__ENSG00000102804.14__TSC22D1__TSC22D1-005__after_last_exon__in_PolyA_DB	-1787
chr13-768__ENST00000497558.5__ENSG00000133114.17__GPALPP1__GPALPP1-003__other_exon__in_PolyA_DB	-2221
chr13-397__ENST00000357537.4__ENSG00000133114.17__GPALPP1__GPALPP1-002__last_exon__in_PolyA_DB	-373
chr13-185__ENST00000378284.6__ENSG00000123179.13__EBPL__EBPL-001__last_exon__in_PolyA_DB	-481
chr13-28__ENST00000469754.2__ENSG00000176124.11__DLEU1__DLEU1-034__last_exon__in_PolyA_DB	-594
chr13-199__ENST00000196169.7__ENSG00000083544.13__TDRD3__TDRD3-201__last_exon__in_PolyA_DB	-259
chr13-345__ENST00000612570.4__ENSG00000102471.13__NDFIP2__NDFIP2-201__last_exon__in_PolyA_DB	-1075
chr13-114__ENST00000612570.4__ENSG00000102471.13__NDFIP2__NDFIP2-201__last_exon__in_PolyA_DB	-1573
chr13-326__ENST00000612570.4__ENSG00000102471.13__NDFIP2__NDFIP2-201__last_exon__in_PolyA_DB	-3338
chr13-290__ENST00000218652.11__ENSG00000102471.13__NDFIP2__NDFIP2-001__after_last_exon__in_PolyA_DB	-3562
chr14-81__ENST00000521766.5__ENSG00000080823.21__MOK__MOK-005__last_exon__in_PolyA_DB	-2321,-2272,-2093,-838,-723,-522
chr14-418__ENST00000472726.2__ENSG00000256500.5__RP11-73M18.2__RP11-73M18.2-001__last_exon__in_PolyA_DB	-259
chr14-235__ENST00000389744.8__ENSG00000126214.21__KLC1__KLC1-002__last_exon__in_PolyA_DB	-588
chr14-447__ENST00000535194.2__ENSG00000126214.21__KLC1__KLC1-012__last_exon__in_PolyA_DB	-490
chr14-756__ENST00000535194.2__ENSG00000126214.21__KLC1__KLC1-012__after_last_exon__in_PolyA_DB	-3595
chr14-108__ENST00000348520.10__ENSG00000126214.21__KLC1__KLC1-001__last_exon__in_PolyA_DB	-344
chr14-358__ENST00000539760.5__ENSG00000165819.11__METTL3__METTL3-010__last_exon__in_PolyA_DB	-338,-225
chr14-78__ENST00000250498.8__ENSG00000129562.10__DAD1__DAD1-002__last_exon__in_PolyA_DB	-231
chr14-873__ENST00000557162.1__ENSG00000213983.11__AP1G2__AP1G2-013__after_last_exon__in_PolyA_DB	-184
chr14-1085__ENST00000554265.5__ENSG00000092020.10__PPP2R3C__PPP2R3C-006__last_exon__in_PolyA_DB	-400,-287
chr14-600__ENST00000533625.5__ENSG00000139865.16__TTC6__TTC6-005__last_exon	-2043,-1848,-1706,-1601,-1511,-1436,-1056,-952,-895,-766,-649,-479,-329,-185
chr14-69__ENST00000525153.5__ENSG00000092208.16__GEMIN2__GEMIN2-004__last_exon__in_PolyA_DB	-798,-684,-639,-570,-459,-400
chr14-1093__ENST00000554081.5__ENSG00000185246.17__PRPF39__PRPF39-007__last_exon__in_PolyA_DB	-2344,-2225,-2057,-1891,-1783,-1618,-1518,-1391,-1122,-937,-862,-741
chr14-152__ENST00000554908.5__ENSG00000197045.12__GMFB__GMFB-002__last_exon__in_PolyA_DB	-6470
chr14-453__ENST00000554908.5__ENSG00000197045.12__GMFB__GMFB-002__last_exon__in_PolyA_DB	-3824
chr14-64__ENST00000459737.5__ENSG00000126777.17__KTN1__KTN1-001__last_exon__in_PolyA_DB	-481
chr14-727__ENST00000525723.6__ENSG00000139974.15__SLC38A6__SLC38A6-002__other_exon__in_PolyA_DB	-1483,-1352,-1278,-1172,-1119,-1079,-1000,-905,-822,-763,-697,-643,-563,-462,-337,-192,-97
chr14-166__ENST00000618858.4__ENSG00000125952.18__MAX__MAX-201__after_last_exon__in_PolyA_DB	-8117
chr14-147__ENST00000618858.4__ENSG00000125952.18__MAX__MAX-201__last_exon__in_PolyA_DB	-1537
chr14-1308__ENST00000555638.5__ENSG00000198133.8__TMEM229B__TMEM229B-001__intron__in_PolyA_DB	-5530,-5395
chr14-1314__ENST00000610283.4__ENSG00000205683.11__DPF3__DPF3-202__last_exon__in_PolyA_DB	-607
chr14-853__ENST00000325680.11__ENSG00000119596.17__YLPM1__YLPM1-001__last_exon__in_PolyA_DB	-393
chr14-98__ENST00000553981.1__ENSG00000119705.9__SLIRP__SLIRP-010__last_exon__in_PolyA_DB	-103
chr14-745__ENST00000554976.5__ENSG00000042088.13__TDP1__TDP1-002__intron__uncertain__in_PolyA_DB	-963,-919,-863,-766,-731
chr14-63__ENST00000556726.5__ENSG00000015133.18__CCDC88C__CCDC88C-005__last_exon__in_PolyA_DB	-2948,-2759,-2690,-2621,-2331
chr14-1178__ENST00000554308.5__ENSG00000100796.17__PPP4R3A__PPP4R3A-005__after_last_exon__in_PolyA_DB	-1217,-1061,-891,-748,-557
chr14-1040__ENST00000554308.5__ENSG00000100796.17__PPP4R3A__PPP4R3A-005__intron	-827,-671,-501,-358
chr14-1359__ENST00000554308.5__ENSG00000100796.17__PPP4R3A__PPP4R3A-005__intron__uncertain	-1168,-1012
chr14-485__ENST00000554308.5__ENSG00000100796.17__PPP4R3A__PPP4R3A-005__intron	-445,-289
chr14-73__ENST00000340722.7__ENSG00000213231.12__TCL1B__TCL1B-001__last_exon__in_PolyA_DB	-698
chr14-353__ENST00000554012.5__ENSG00000100721.10__TCL1A__TCL1A-001__after_last_exon	-1090
chr14-59__ENST00000554012.5__ENSG00000100721.10__TCL1A__TCL1A-001__last_exon	-915
chr14-8__ENST00000402399.5__ENSG00000100721.10__TCL1A__TCL1A-201__last_exon	-826
chr15-420__ENST00000338327.4__ENSG00000273173.5__SNURF__SNURF-001__last_exon__in_PolyA_DB	-27
chr15-1329__ENST00000565280.5__ENSG00000198690.9__FAN1__FAN1-005__last_exon	-2462,-2321,-2119,-1885,-1753,-1644,-1524,-1359,-1208,-1104,-909,-780,-639
chr15-940__ENST00000565280.5__ENSG00000198690.9__FAN1__FAN1-005__last_exon__in_PolyA_DB	-3366,-3225,-3023,-2789,-2657,-2548,-2428,-2263,-2112,-2008,-1813,-1684,-1543
chr15-1044__ENST00000568604.5__ENSG00000166912.16__MTMR10__MTMR10-007__last_exon__in_PolyA_DB	-2630,-2542,-2453,-2322,-2252,-2181,-2011,-1840
chr15-941__ENST00000560536.5__ENSG00000169918.9__OTUD7A__OTUD7A-002__after_last_exon	-3213,-2994
chr15-1066__ENST00000558353.1__ENSG00000104131.12__EIF3J__EIF3J-007__after_last_exon__uncertain__in_PolyA_DB	-1684
chr15-500__ENST00000529349.1__ENSG00000170236.14__USP50__USP50-004__after_last_exon	-344,-211
chr15-44__ENST00000529349.1__ENSG00000170236.14__USP50__USP50-004__after_last_exon__in_PolyA_DB	-256,-123
chr15-226__ENST00000534964.6__ENSG00000047346.12__FAM214A__FAM214A-003__last_exon__in_PolyA_DB	-846,-646
chr15-29__ENST00000482852.5__ENSG00000255529.7__POLR2M__POLR2M-006__last_exon__in_PolyA_DB	-1614,-1338,-1187
chr15-383__ENST00000559192.5__ENSG00000140455.16__USP3__USP3-002__last_exon__in_PolyA_DB	-2049,-1917,-1833,-1751,-1668,-1554,-1440,-1293,-1186,-1105,-986,-872,-804
chr15-597__ENST00000559007.5__ENSG00000035664.11__DAPK2__DAPK2-002__last_exon__in_PolyA_DB	-3581,-3451,-3402,-3375,-3222,-3176,-3086,-1717,-1619
chr15-116__ENST00000380285.7__ENSG00000028528.14__SNX1__SNX1-005__last_exon__in_PolyA_DB	-1556,-1489,-1445,-1303,-1224,-1148,-1034,-940,-734,-590,-509,-437
chr15-1242__ENST00000326648.4__ENSG00000180357.9__ZNF609__ZNF609-001__last_exon__in_PolyA_DB	-3569
chr15-828__ENST00000326648.4__ENSG00000180357.9__ZNF609__ZNF609-001__last_exon__in_PolyA_DB	-4377
chr15-32__ENST00000560606.5__ENSG00000166831.8__RBPMS2__RBPMS2-005__after_last_exon__in_PolyA_DB	-1110
chr15-161__ENST00000573314.5__ENSG00000138614.14__VWA9__VWA9-001__last_exon__in_PolyA_DB	-2249,-1965,-1857,-1701,-1582,-1439,-1346,-1201,-1067,-948,-882
chr15-190__ENST00000568875.1__ENSG00000174446.12__SNAPC5__SNAPC5-002__last_exon__in_PolyA_DB	-736
chr15-412__ENST00000307897.9__ENSG00000174442.11__ZWILCH__ZWILCH-001__last_exon__in_PolyA_DB	-1135
chr15-724__ENST00000638076.1__ENSG00000128973.12__CLN6__CLN6-007__last_exon__in_PolyA_DB	-651,-595,-472
chr15-22__ENST00000569534.5__ENSG00000159322.17__ADPGK__ADPGK-003__after_last_exon__in_PolyA_DB	-1825,-1628,-1529
chr15-510__ENST00000322347.10__ENSG00000178741.11__COX5A__COX5A-001__last_exon__in_PolyA_DB	-652
chr15-73__ENST00000322347.10__ENSG00000178741.11__COX5A__COX5A-001__last_exon__in_PolyA_DB	-168
chr15-1459__ENST00000569749.5__ENSG00000167196.13__FBXO22__FBXO22-002__last_exon__in_PolyA_DB	-839
chr15-541__ENST00000566417.5__ENSG00000169752.16__NRG4__NRG4-011__after_last_exon__uncertain__in_PolyA_DB	-1116
chr15-346__ENST00000566417.5__ENSG00000169752.16__NRG4__NRG4-011__after_last_exon__in_PolyA_DB	-918
chr15-564__ENST00000461391.5__ENSG00000169752.16__NRG4__NRG4-002__last_exon__in_PolyA_DB	-3042,-2946,-2799,-2719
chr15-427__ENST00000461391.5__ENSG00000169752.16__NRG4__NRG4-002__last_exon__in_PolyA_DB	-465,-369,-222,-142
chr15-1463__ENST00000559750.5__ENSG00000140368.12__PSTPIP1__PSTPIP1-006__last_exon	-773,-674,-628,-548
chr15-216__ENST00000381714.7__ENSG00000140382.14__HMG20A__HMG20A-002__last_exon__in_PolyA_DB	-2634
chr15-1278__ENST00000408962.6__ENSG00000188266.13__HYKK__HYKK-202__after_last_exon	-1862
chr15-1114__ENST00000558090.2__ENSG00000103942.12__HOMER2__HOMER2-005__last_exon	-10302
chr15-476__ENST00000558090.2__ENSG00000103942.12__HOMER2__HOMER2-005__last_exon__in_PolyA_DB	-7726
chr15-1289__ENST00000558090.2__ENSG00000103942.12__HOMER2__HOMER2-005__last_exon__in_PolyA_DB	-6166
chr15-783__ENST00000485222.2__ENSG00000176371.13__ZSCAN2__ZSCAN2-005__last_exon__in_PolyA_DB	-237
chr15-355__ENST00000337975.5__ENSG00000183655.12__KLHL25__KLHL25-001__last_exon__in_PolyA_DB	-1686
chr15-146__ENST00000557842.6__ENSG00000140543.14__DET1__DET1-002__other_exon__in_PolyA_DB	-1041,-853,-661
chr15-514__ENST00000631044.2__ENSG00000140521.12__POLG__POLG-011__last_exon__in_PolyA_DB	-3548,-3352,-3184,-3037,-2957,-2774,-2622,-2495,-2258,-2137,-2050,-1901,-1740,-1686,-1568,-1432,-1185,-1062,-893,-684,-523
chr16-916__ENST00000573360.5__ENSG00000166676.14__TVP23A__TVP23A-004__last_exon__in_PolyA_DB	-600,-510,-381,-252,-192
chr16-1105__ENST00000572428.5__ENSG00000166676.14__TVP23A__TVP23A-002__last_exon__in_PolyA_DB	-241
chr16-1029__ENST00000331808.4__ENSG00000182108.9__DEXI__DEXI-001__last_exon__in_PolyA_DB	-669
chr16-794__ENST00000545114.5__ENSG00000233024.7__RP11-1212A22.4__RP11-1212A22.4-006__last_exon	-499
chr16-1183__ENST00000426094.5__ENSG00000007392.16__LUC7L__LUC7L-006__last_exon__in_PolyA_DB	-1255,-1160,-1061,-950,-806,-629,-540,-510,-342
chr16-103__ENST00000381337.6__ENSG00000066654.13__THUMPD1__THUMPD1-001__last_exon__in_PolyA_DB	-2695
chr16-921__ENST00000381337.6__ENSG00000066654.13__THUMPD1__THUMPD1-001__last_exon__in_PolyA_DB	-2351
chr16-1561__ENST00000331057.8__ENSG00000185716.11__C16orf52__C16orf52-001__last_exon__in_PolyA_DB	-1059,-846,-653,-585,-478
chr16-972__ENST00000389398.9__ENSG00000175267.14__VWA3A__VWA3A-001__last_exon__in_PolyA_DB	-843
chr16-711__ENST00000521555.6__ENSG00000243716.10__NPIPB5__NPIPB5-001__last_exon	-3418,-3289,-3189,-2993,-2932,-2896
chr16-1223__ENST00000521555.6__ENSG00000243716.10__NPIPB5__NPIPB5-001__after_last_exon	-3536,-3407,-3307,-3111,-3050,-3014
chr16-22__ENST00000007516.7__ENSG00000004779.9__NDUFAB1__NDUFAB1-001__last_exon__in_PolyA_DB	-160
chr16-371__ENST00000565716.1__ENSG00000162062.14__C16orf59__C16orf59-007__last_exon__in_PolyA_DB	-912,-810
chr16-15__ENST00000380962.9__ENSG00000205629.11__LCMT1__LCMT1-003__last_exon__in_PolyA_DB	-1005,-883,-806,-744,-641,-520,-418,-326,-228
